name_switch,name_prodesen,load_zone,load_area,time,timestamp,capacity_factor
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-01-31,20070131,9.375579
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-02-29,20070229,8.233449
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-03-31,20070331,8.703241
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-04-30,20070430,8.484549
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-05-31,20070531,8.739468
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-06-30,20070630,12.290972
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-07-31,20070731,14.850116
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-08-31,20070831,15.123785
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-09-30,20070930,14.025
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-10-31,20071031,11.386343
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-11-30,20071130,8.494676
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2007-12-31,20071231,9.829109
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-01-31,20150131,9.268095
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-02-29,20150229,9.074773
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-03-31,20150331,10.356625
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-04-30,20150430,8.558167
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-05-31,20150531,9.515418
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-06-30,20150630,13.769964
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-07-31,20150731,16.386878
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-08-31,20150831,14.417284
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-09-30,20150930,14.92303
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-10-31,20151031,12.052488
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-11-30,20151130,9.209897
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-12-31,20151231,10.222512
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-01-31,20080131,9.173727
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-02-29,20080229,8.571354
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-03-31,20080331,8.695197
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-04-30,20080430,8.278588
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-05-31,20080531,8.947106
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-06-30,20080630,16.105878
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-07-31,20080731,17.389352
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-08-31,20080831,16.381771
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-09-30,20080930,16.386574
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-10-31,20081031,11.800926
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-11-30,20081130,8.748206
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-12-31,20081231,9.729167
angostura,angostura,02-oriental,39-grijalva,2009-01-31,20090131,33.329926
angostura,angostura,02-oriental,39-grijalva,2009-02-29,20090229,37.413055
angostura,angostura,02-oriental,39-grijalva,2009-03-31,20090331,42.02834
angostura,angostura,02-oriental,39-grijalva,2009-04-30,20090430,44.64776
angostura,angostura,02-oriental,39-grijalva,2009-05-31,20090531,21.718573
angostura,angostura,02-oriental,39-grijalva,2009-06-30,20090630,27.729398
angostura,angostura,02-oriental,39-grijalva,2009-07-31,20090731,34.154389
angostura,angostura,02-oriental,39-grijalva,2009-08-31,20090831,36.138225
angostura,angostura,02-oriental,39-grijalva,2009-09-30,20090930,29.25826
angostura,angostura,02-oriental,39-grijalva,2009-10-31,20091031,27.098542
angostura,angostura,02-oriental,39-grijalva,2009-11-30,20091130,8.761788
angostura,angostura,02-oriental,39-grijalva,2009-12-31,20091231,9.670098
angostura,angostura,02-oriental,39-grijalva,2015-01-31,20150131,26.529496
angostura,angostura,02-oriental,39-grijalva,2015-02-29,20150229,22.516723
angostura,angostura,02-oriental,39-grijalva,2015-03-31,20150331,35.9998
angostura,angostura,02-oriental,39-grijalva,2015-04-30,20150430,52.841931
angostura,angostura,02-oriental,39-grijalva,2015-05-31,20150531,66.496741
angostura,angostura,02-oriental,39-grijalva,2015-06-30,20150630,34.17315
angostura,angostura,02-oriental,39-grijalva,2015-07-31,20150731,7.77784
angostura,angostura,02-oriental,39-grijalva,2015-08-31,20150831,12.71245
angostura,angostura,02-oriental,39-grijalva,2015-09-30,20150930,22.195293
angostura,angostura,02-oriental,39-grijalva,2015-10-31,20151031,16.530215
angostura,angostura,02-oriental,39-grijalva,2015-11-30,20151130,10.397921
angostura,angostura,02-oriental,39-grijalva,2015-12-31,20151231,12.270822
angostura,angostura,02-oriental,39-grijalva,2008-01-31,20080131,6.101814
angostura,angostura,02-oriental,39-grijalva,2008-02-29,20080229,8.018842
angostura,angostura,02-oriental,39-grijalva,2008-03-31,20080331,24.081893
angostura,angostura,02-oriental,39-grijalva,2008-04-30,20080430,82.511178
angostura,angostura,02-oriental,39-grijalva,2008-05-31,20080531,86.416959
angostura,angostura,02-oriental,39-grijalva,2008-06-30,20080630,59.324046
angostura,angostura,02-oriental,39-grijalva,2008-07-31,20080731,34.866129
angostura,angostura,02-oriental,39-grijalva,2008-08-31,20080831,45.230659
angostura,angostura,02-oriental,39-grijalva,2008-09-30,20080930,73.960936
angostura,angostura,02-oriental,39-grijalva,2008-10-31,20081031,57.207303
angostura,angostura,02-oriental,39-grijalva,2008-11-30,20081130,50.154317
angostura,angostura,02-oriental,39-grijalva,2008-12-31,20081231,33.30012
bacurato,bacurato,04-noroeste,04-los_mochis,2013-01-31,20130131,34.09099
bacurato,bacurato,04-noroeste,04-los_mochis,2013-02-29,20130229,35.334768
bacurato,bacurato,04-noroeste,04-los_mochis,2013-03-31,20130331,39.67705
