load_area	fuel	period	fuel_cost
00-autoabasto_local	natural_gas	2016	4.053313448
00-autoabasto_local	natural_gas	2021	4.847394189
00-autoabasto_local	natural_gas	2026	5.164129105
00-autoabasto_local	diesel	2016	76.4343884
00-autoabasto_local	diesel	2021	102.9651704
00-autoabasto_local	diesel	2026	115.3272388
00-autoabasto_local	fuel_oil	2016	35.03590245
00-autoabasto_local	fuel_oil	2021	58.20977448
00-autoabasto_local	fuel_oil	2026	63.99824477
01-hermosillo	natural_gas	2016	4.775580214
01-hermosillo	natural_gas	2021	5.611838012000001
01-hermosillo	natural_gas	2026	5.9249198839999995
01-hermosillo	diesel	2016	75.14576594
01-hermosillo	diesel	2021	101.2292603
01-hermosillo	diesel	2026	113.38291409999998
01-hermosillo	fuel_oil	2016	36.77517193
01-hermosillo	fuel_oil	2021	59.79648976
01-hermosillo	fuel_oil	2026	65.54394027
02-cananea	natural_gas	2016	4.775580214
02-cananea	natural_gas	2021	5.611838012000001
02-cananea	natural_gas	2026	5.9249198839999995
02-cananea	fuel_oil	2016	37.21760555
02-cananea	fuel_oil	2021	60.36800770000001
02-cananea	fuel_oil	2026	66.15016726
03-obregon	natural_gas	2016	4.775580214
03-obregon	natural_gas	2021	5.611838012000001
03-obregon	natural_gas	2026	5.9249198839999995
03-obregon	diesel	2016	75.14576594
03-obregon	diesel	2021	101.2292603
03-obregon	diesel	2026	113.38291409999998
03-obregon	fuel_oil	2016	36.37886019
03-obregon	fuel_oil	2021	59.40017801
03-obregon	fuel_oil	2026	65.14762852
04-los_mochis	natural_gas	2016	4.775580214
04-los_mochis	natural_gas	2021	5.611838012000001
04-los_mochis	natural_gas	2026	5.9249198839999995
04-los_mochis	fuel_oil	2016	36.32031557
04-los_mochis	fuel_oil	2021	59.34163339
04-los_mochis	fuel_oil	2026	65.0890839
05-culiacan	diesel	2016	75.14576594
05-culiacan	diesel	2021	101.2292603
05-culiacan	diesel	2026	113.38291409999998
06-mazatlan	natural_gas	2016	4.775580214
06-mazatlan	natural_gas	2021	5.611838012000001
06-mazatlan	natural_gas	2026	5.9249198839999995
06-mazatlan	fuel_oil	2016	36.19403667
06-mazatlan	fuel_oil	2021	59.215354500000004
06-mazatlan	fuel_oil	2026	64.96280501
07-juarez	natural_gas	2016	4.074080213999999
07-juarez	natural_gas	2021	4.9103380119999995
07-juarez	natural_gas	2026	5.223419884
07-juarez	diesel	2016	75.14576594
07-juarez	diesel	2021	101.2292603
07-juarez	diesel	2026	113.38291409999998
07-juarez	fuel_oil	2016	37.56080445
07-juarez	fuel_oil	2021	60.58212228
07-juarez	fuel_oil	2026	66.32957279
09-chihuahua	natural_gas	2016	3.9251802139999996
09-chihuahua	natural_gas	2021	4.761438012
09-chihuahua	natural_gas	2026	5.074519884
09-chihuahua	diesel	2016	75.14576594
09-chihuahua	diesel	2021	101.2292603
09-chihuahua	diesel	2026	113.38291409999998
09-chihuahua	fuel_oil	2016	37.21760555
09-chihuahua	fuel_oil	2021	60.36800770000001
09-chihuahua	fuel_oil	2026	66.15016726
10-durango	natural_gas	2016	4.074080213999999
10-durango	natural_gas	2021	4.9103380119999995
10-durango	natural_gas	2026	5.223419884
10-durango	diesel	2016	75.14576594
10-durango	diesel	2021	101.2292603
10-durango	diesel	2026	113.38291409999998
11-laguna	natural_gas	2016	3.9251802139999996
11-laguna	natural_gas	2021	4.761438012
11-laguna	natural_gas	2026	5.074519884
11-laguna	diesel	2016	75.14576594
11-laguna	diesel	2021	101.2292603
11-laguna	diesel	2026	113.38291409999998
11-laguna	fuel_oil	2016	34.85680942
11-laguna	fuel_oil	2021	58.00721157
11-laguna	fuel_oil	2026	63.78937112
12-rio_escondido	coal	2016	44.23584813
12-rio_escondido	coal	2021	78.97102166
12-rio_escondido	coal	2026	81.617322
12-rio_escondido	natural_gas	2016	3.776280214
12-rio_escondido	natural_gas	2021	4.612538012
12-rio_escondido	natural_gas	2026	4.925619884
12-rio_escondido	diesel	2016	75.14576594
12-rio_escondido	diesel	2021	101.2292603
12-rio_escondido	diesel	2026	113.38291409999998
12-rio_escondido	fuel_oil	2016	33.09638853
12-rio_escondido	fuel_oil	2021	56.11770636
12-rio_escondido	fuel_oil	2026	61.86515687
