load_area	fuel	year	fuel_cost
00-autoabasto_local	natural_gas	2016	4.053313448
00-autoabasto_local	natural_gas	2017	4.555554467
00-autoabasto_local	natural_gas	2018	4.394575519
00-autoabasto_local	natural_gas	2019	4.622142625
00-autoabasto_local	natural_gas	2020	4.74181572
00-autoabasto_local	natural_gas	2021	4.847394189
00-autoabasto_local	natural_gas	2022	4.952972168
00-autoabasto_local	natural_gas	2023	5.005761158
00-autoabasto_local	natural_gas	2024	5.058550637
00-autoabasto_local	natural_gas	2025	5.111339626
00-autoabasto_local	natural_gas	2026	5.164129105
00-autoabasto_local	natural_gas	2027	5.216918583
00-autoabasto_local	natural_gas	2028	5.269707084
00-autoabasto_local	natural_gas	2029	5.322496563
00-autoabasto_local	natural_gas	2030	5.375285553
00-autoabasto_local	diesel	2016	76.4343884
00-autoabasto_local	diesel	2017	91.90855173
00-autoabasto_local	diesel	2018	95.68405825
00-autoabasto_local	diesel	2019	98.97802259
00-autoabasto_local	diesel	2020	101.0870882
00-autoabasto_local	diesel	2021	102.9651704
00-autoabasto_local	diesel	2022	104.9465476
00-autoabasto_local	diesel	2023	107.2919827
00-autoabasto_local	diesel	2024	111.3072213
00-autoabasto_local	diesel	2025	113.822259
00-autoabasto_local	diesel	2026	115.3272388
00-autoabasto_local	diesel	2027	116.7015336
00-autoabasto_local	diesel	2028	117.8689506
00-autoabasto_local	diesel	2029	118.816289
00-autoabasto_local	diesel	2030	119.7626777
00-autoabasto_local	fuel_oil	2016	35.03590245
00-autoabasto_local	fuel_oil	2017	49.0696705
00-autoabasto_local	fuel_oil	2018	52.28995349
00-autoabasto_local	fuel_oil	2019	55.18018877
00-autoabasto_local	fuel_oil	2020	56.90804905
00-autoabasto_local	fuel_oil	2021	58.20977448
00-autoabasto_local	fuel_oil	2022	59.43372894
00-autoabasto_local	fuel_oil	2023	60.66865171
00-autoabasto_local	fuel_oil	2024	61.75690058
00-autoabasto_local	fuel_oil	2025	62.6669415
00-autoabasto_local	fuel_oil	2026	63.99824477
00-autoabasto_local	fuel_oil	2027	65.23153047
00-autoabasto_local	fuel_oil	2028	66.55310727
00-autoabasto_local	fuel_oil	2029	67.89654059
00-autoabasto_local	fuel_oil	2030	69.204233
01-hermosillo	natural_gas	2016	4.775580214
01-hermosillo	natural_gas	2017	5.272028665
01-hermosillo	natural_gas	2018	5.164241901
01-hermosillo	natural_gas	2019	5.389184374
01-hermosillo	natural_gas	2020	5.507477227
01-hermosillo	natural_gas	2021	5.611838012
01-hermosillo	natural_gas	2022	5.716198314
01-hermosillo	natural_gas	2023	5.768378465
01-hermosillo	natural_gas	2024	5.820559099
01-hermosillo	natural_gas	2025	5.87273925
01-hermosillo	natural_gas	2026	5.924919884
01-hermosillo	natural_gas	2027	5.977100518
01-hermosillo	natural_gas	2028	6.029280186
01-hermosillo	natural_gas	2029	6.08146082
01-hermosillo	natural_gas	2030	6.133640971
01-hermosillo	diesel	2016	75.14576594
01-hermosillo	diesel	2017	90.35904729
01-hermosillo	diesel	2018	94.07090181
01-hermosillo	diesel	2019	97.30933255
01-hermosillo	diesel	2020	99.38284098
01-hermosillo	diesel	2021	101.2292603
01-hermosillo	diesel	2022	103.177233
01-hermosillo	diesel	2023	105.483126
01-hermosillo	diesel	2024	109.4306708
01-hermosillo	diesel	2025	111.903307
01-hermosillo	diesel	2026	113.3829141
01-hermosillo	diesel	2027	114.7340394
01-hermosillo	diesel	2028	115.8817747
01-hermosillo	diesel	2029	116.8131417
01-hermosillo	diesel	2030	117.7435751
01-hermosillo	fuel_oil	2016	36.77517193
01-hermosillo	fuel_oil	2017	50.71685639
01-hermosillo	fuel_oil	2018	53.91589508
01-hermosillo	fuel_oil	2019	56.78711146
