switch_name	 25_percentile	 50_percentile	 75_percentile	year25_percentile	year50_percentile	year75_percentile
tingambato	1983.968438	2457.111708	3664.422333	2015	2012	2014
santa_barbara	91.63391667	594.7687917	1502.347708	2013	2006	2007
santa_rosa	16363.81042	19768.26333	20669.11458	2012	2014	2010
peunte_grande	2084.307229	2255.020208	2512.641833	2012	2007	2010
luis_m_rojas	554.8426458	659.2552917	897.8643542	2013	2011	2015
agua_prieta	18534.94825	18800.89142	19692.47092	2011	2013	2015
colimilla	3430.920333	4363.981625	4837.478729	2006	2014	2013
temascal	104484.7007	107675.6842	124324.781	2008	2007	2006
tamazulapan	452.0316667	632.5266667	691.8771875	2009	2012	2014
colotipa	2409.521125	2669.765917	2931.854521	2011	2009	2007
la_venta	7672.875	11996.125	12154.43748	2013	2008	2006
el_caracol	81048.04442	97233.66671	107716.5406	2015	2012	2013
palazuelo_1	307.74525	355.6278333	907.5982083	2013	2014	2007
mazatepec	42447.01404	50652.04175	55851.568	2007	2008	2011
el_encanto	4690.941	4805.947042	5186.453792	2013	2008	2012
ixtaczoquitlan	816.0944167	998.4942083	1036.202021	2008	2010	2013
tuxpango	14569.42963	15104.85171	16295.34433	2012	2009	2010
las_minas	7032.833354	7153.222542	7265.632625	2010	2007	2009
chilapan	9541.641604	9744.968417	10591.60852	2007	2011	2010
texolo	813.6735417	886.265	952.9010417	2011	2009	2014
falcon	4259.004	5563.635292	7723.699021	2013	2006	2009
la_amistad	6769.797563	7315.969042	12205.51144	2011	2013	2007
electroquimica	739.0641458	755.05975	774.0878958	2011	2014	2007
el_salto	6807.143271	7570.426833	8083.357313	2009	2013	2007
micos	169.23975	187.8639167	209.7424583	2013	2012	2015
colina	679.4007292	780.69175	842.1852083	2008	2010	2015
boquilla	6175.78775	7270.050583	7679.601667	2014	2007	2010
el_fuerte	21728.98992	27970.93988	29788.4321	2014	2009	2015
sanalona	3274.0595	3893.284542	5483.545063	2013	2006	2015
bacurato	19099.5774	20887.32154	24605.04404	2015	2006	2008
huites	56735.8605	82047.65054	91131.46196	2013	2009	2007
humaya	16364.44288	19790.81067	23996.63385	2014	2007	2010
comedero	13036.39238	22794.78917	29053.92406	2014	2006	2009
zimapan	102435.985	112432.966	147350.8306	2006	2012	2007
el_cajon	32795.19813	60631.13129	98206.63127	2012	2007	2010
jumatan	682.1023125	710.3182083	830.843375	2008	2011	2014
solidaridad	70245.62469	118771.6597	157477.7742	2012	2014	2015
macuzari	3350.138042	3952.785375	4119.616063	2011	2006	2007
oviachic	6249.948083	7203.704708	7738.027438	2007	2012	2011
el_novillo	35829.84006	36528.1545	41235.33025	2011	2008	2014
tirio	223.6290833	241.4908333	262.8898125	2013	2015	2012
el_platanal	3511.354063	3776.75	3935	2013	2009	2008
san_pedro_puruas	442.1049312	479.199375	532.3246458	2008	2007	2011
itzicuaro	225.3135208	289.8680417	341.6071667	2015	2007	2011
cupatitzio	31459.75823	32494.01133	36067.28773	2013	2008	2014
botello	5723.599813	5844.209123	6563.432417	2006	2008	2015
infernillo	222801.5776	260078.5759	293035.6033	2015	2012	2011
la_villita	98917.06067	107056.817	114719.509	2015	2012	2007
zumpinito	2936.883771	3200.066833	3711.544392	2008	2007	2013
el_cobano	18570.15427	20020.15496	21186.14796	2006	2008	2013
bartonilas	175.0845415	189.9650417	204.6367292	2009	2011	2014
cecilio_del_valle	8140.786188	8572.703	8835.803083	2009	2010	2008
schpoina	683.5809792	794.7369583	822.5963125	2007	2012	2011
chicoasen	400022.9039	557091.128	599620.1836	2009	2006	2010
malpaso	258326.6177	346286.1715	401534.1135	2009	2006	2008
bombana	1912.376958	1937.962625	2301.541438	2015	2007	2012
angostura	177292.193	246778.6646	271857.4057	2015	2010	2014
penitas	126215.1113	148744.5913	175062.7948	2009	2006	2008
