name_switch	name_prodesen	control_area	load_area	25_percentile	50_percentile	75_percentile	year25_percentile	year50_percentile	year75_percentile
agua_prieta 	 agua_prieta 	 03-occidental 	 23-guadalajara	18534.94825	18800.89142	19692.47092	2011	2013	2015
angostura 	 angostura 	 02-oriental 	 39-grijalva	177292.193	246778.6646	271857.4057	2015	2010	2014
bacurato 	 bacurato 	 04-noroeste 	 04-los_mochis	19099.5774	20887.32154	24605.04404	2015	2006	2008
bombana 	 bombana 	 02-oriental 	 39-grijalva	1912.376958	1937.962625	2301.541438	2015	2007	2012
boquilla 	 boquilla 	 05-norte 	 09-chihuahua	6175.78775	7270.050583	7679.601667	2014	2007	2010
botello 	 botello 	 03-occidental 	 28-carapan	5723.599813	5844.209123	6563.432417	2006	2008	2015
chicoasen 	 chicoasen 	 02-oriental 	 39-grijalva	400022.9039	557091.128	599620.1836	2009	2006	2010
chilapan 	 chilapan 	 02-oriental 	 37-coatzacoalcos	9541.641604	9744.968417	10591.60852	2007	2011	2010
colimilla 	 colimilla 	 03-occidental 	 23-guadalajara	3430.920333	4363.981625	4837.478729	2006	2014	2013
colina 	 colina 	 05-norte 	 09-chihuahua	679.4007292	780.69175	842.1852083	2008	2010	2015
colotipa 	 colotlipa 	 02-oriental 	 35-acapulco	2409.521125	2669.765917	2931.854521	2011	2009	2007
comedero 	 comedero 	 04-noroeste 	 05-culiacan	13036.39238	22794.78917	29053.92406	2014	2006	2009
cupatitzio 	 cupatitzio 	 03-occidental 	 28-carapan	31459.75823	32494.01133	36067.28773	2013	2008	2014
el_cajon 	 el_cajon 	 03-occidental 	 23-guadalajara	32795.19813	60631.13129	98206.63127	2012	2007	2010
el_caracol 	 caracol 	 02-oriental 	 35-acapulco	81048.04442	97233.66671	107716.5406	2015	2012	2013
el_cobano 	 cobano 	 03-occidental 	 29-lazaro_cardenas	18570.15427	20020.15496	21186.14796	2006	2008	2013
el_encanto 	 encanto 	 02-oriental 	 32-poza_rica	4690.941	4805.947042	5186.453792	2013	2008	2012
el_fuerte 	 el_fuerte 	 04-noroeste 	 04-los_mochis	21728.98992	27970.93988	29788.4321	2014	2009	2015
el_novillo 	 el_novillo 	 04-noroeste 	 01-hermosillo	35829.84006	36528.1545	41235.33025	2011	2008	2014
el_platanal 	 platanal 	 03-occidental 	 28-carapan	3511.354063	3776.75	3935	2013	2009	2008
el_salto 	 el_salto 	 06-noreste 	 18-valles	6807.143271	7570.426833	8083.357313	2009	2013	2007
electroquimica 	 electroquimica 	 06-noreste 	 18-valles	739.0641458	755.05975	774.0878958	2011	2014	2007
falcon 	 falcon 	 06-noreste 	 13-nuevo_laredo	4259.004	5563.635292	7723.699021	2013	2006	2009
huites 	 huites 	 04-noroeste 	 03-obregon	56735.8605	82047.65054	91131.46196	2013	2009	2007
humaya 	 humaya 	 04-noroeste 	 05-culiacan	16364.44288	19790.81067	23996.63385	2014	2007	2010
infernillo 	 infiernillo 	 03-occidental 	 29-lazaro_cardenas	222801.5776	260078.5759	293035.6033	2015	2012	2011
itzicuaro 	 itzicuaro 	 03-occidental 	 28-carapan	225.3135208	289.8680417	341.6071667	2015	2007	2011
ixtaczoquitlan 	 ixtaczoquitlan 	 02-oriental 	 36-temascal	816.0944167	998.4942083	1036.202021	2008	2010	2013
