nombre_switch	nombre_prodesen	region_de_control	region_de_transmision
agua_prieta	agua_prieta	03-occidental	23-guadalajara
angostura	angostura	02-oriental	39-grijalva
bacurato	bacurato	04-noroeste	04-los_mochis
bombana	bombana	02-oriental	39-grijalva
boquilla	boquilla	05-norte	09-chihuahua
botello	botello	03-occidental	28-carapan
chicoasen	chicoasen	02-oriental	39-grijalva
chilapan	chilapan	02-oriental	37-coatzacoalcos
colimilla	colimilla	03-occidental	23-guadalajara
colina	colina	05-norte	09-chihuahua
colotipa	colotlipa	02-oriental	35-acapulco
comedero	comedero	04-noroeste	05-culiacan
cupatitzio	cupatitzio	03-occidental	28-carapan
el_cajon	el_cajon	03-occidental	23-guadalajara
el_caracol	caracol	02-oriental	35-acapulco
el_cobano	cobano	03-occidental	29-lazaro_cardenas
el_encanto	encanto	02-oriental	32-poza_rica
el_fuerte	el_fuerte	04-noroeste	04-los_mochis
el_novillo	el_novillo	04-noroeste	01-hermosillo
el_platanal	platanal	03-occidental	28-carapan
el_salto	el_salto	06-noreste	18-valles
electroquimica	electroquimica	06-noreste	18-valles
falcon	falcon	06-noreste	13-nuevo_laredo
huites	huites	04-noroeste	03-obregon
humaya	humaya	04-noroeste	05-culiacan
infernillo	infiernillo	03-occidental	29-lazaro_cardenas
itzicuaro	itzicuaro	03-occidental	28-carapan
ixtaczoquitlan	ixtaczoquitlan	02-oriental	36-temascal
jumatan	jumatan	03-occidental	22-tepic
la_amistad	la_amistad	06-noreste	12-rio_escondido
la_villita	villita	03-occidental	29-lazaro_cardenas
la_yesca	la_yesca	03-occidental	23-guadalajara
las_minas	minas	02-oriental	36-temascal
macuzari	mocuzari	04-noroeste	03-obregon
malpaso	malpaso	02-oriental	39-grijalva
mazatepec	mazatepec	02-oriental	32-poza_rica
micos	micos	06-noreste	18-valles
oviachic	oviachic	04-noroeste	03-obregon
penitas	penitas	02-oriental	38-tabasco
puente_grande	puente_grande	03-occidental	23-guadalajara
sanalona	sanalona	04-noroeste	05-culiacan
santa_rosa	santa_rosa	03-occidental	23-guadalajara
schpoina	schpoina	02-oriental	39-grijalva
solidaridad	aguamilpa_solidaridad	03-occidental	22-tepic
tamazulapan	tamazulapan	02-oriental	36-temascal
temascal	temascal	02-oriental	36-temascal
texolo	texolo	02-oriental	33-veracruz
tirio	tirio	03-occidental	28-carapan
tuxpango	tuxpango	02-oriental	36-temascal
zimapan	zimapan	03-occidental	30-queretaro
zumpinito	zumpimito	03-occidental	28-carapan
