LOAD_ZONE	lz_cost_multipliers	existing_local_td	local_td_annual_cost_per_mw
01-hermosillo	1	3260.2742776470586	6911.9626098550452
02-cananea	1	826.90084105882352	8827.6698595854341
03-obregon	1	1602.5972776470589	10413.353150670388
04-los_mochis	1	1390.0868517647059	10990.675015331404
05-culiacan	1	1568.0538000000001	8309.2855383148362
06-mazatlan	1	753.34311235294115	8677.7603749518785
07-juarez	1	1812.0361188235293	6115.3325486016074
08-moctezuma	1	1090.2733367058822	10859.889338259914
09-chihuahua	1	2981.2381270588235	11499.895375933898
10-durango	1	740.13687188235292	17302.040334774916
11-laguna	1	1793.4503705882355	7846.7569267529534
12-rio_escondido	1	792.49400023529427	22751.648357874154
13-nuevo_laredo	1	597.19999788235293	11923.709646590609
14-reynosa	1	1538.6170000000002	5107.3672857252323
15-matamoros	1	718.34042458823524	7659.2774114853346
16-monterrey	1	10271.099903529413	2690.2727191129129
17-saltillo	1	2790.9953976470588	3613.3433917513657
18-valles	1	703.64741470588228	7471.8399069200223
19-huasteca	1	1291.4831847058824	7758.098051919299
20-tamazunchale	1	427.96249599999999	29988.011193780891
21-guemez	1	549.08281776470596	10530.292444134744
22-tepic	1	975.01611458823527	14487.130836252258
23-guadalajara	1	4058.5910164705883	8796.963044497903
24-aguascalientes	1	3243.4379917647061	11456.468569915336
25-san_luis_potosi	1	1951.9918188235295	7374.1251882843053
26-salamanca	1	2175.1653000000001	7188.8267877876187
27-manzanillo	1	802.44870494117652	11202.955812252589
28-carapan	1	1375.1013752941176	6476.8511706793033
29-lazaro_cardenas	1	1191.2832517647059	6740.6057063404196
30-queretaro	1	4192.2441988235296	8811.9579739620658
31-central	1	16853.003905882353	6301.6978588140182
32-poza_rica	1	1295.7466964705884	21385.288037092243
33-veracruz	1	1415.0462517647061	11078.488643674738
34-puebla	1	4370.887270588235	2772.2238696297272
35-acapulco	1	1249.6004152941177	6989.7296386276275
36-temascal	1	1651.2365976470592	10183.792437792974
37-coatzacoalcos	1	1331.167485882353	6932.3322037482167
38-tabasco	1	2237.3103670588239	11792.130480946478
39-grijalva	1	1310.6810729411764	14749.778173670102
40-ixtepec	1	514.58678670588233	9702.5665946254285
41-lerma	1	741.08186752941174	7686.0846258945239
42-merida	1	1444.3941223529412	9230.2437300138699
43-cancun	1	1776.4218105882351	6287.0686349180141
44-chetumal	1	217.66966964705878	30345.13629485753
45-cozumel	1	102.78995797647059	3022.4612758562093
46-tijuana	1	1503.5508176470587	13161.887665976186
47-ensenada	1	507.96941764705878	0.0
48-mexicali	1	2694.5967376470589	2441.9335648960619
49-san_luis_rio_colorado	1	582.00541694117646	4202.0195481763622
50-villa_constitucion	1	82.436756635294131	140078.2632376487
51-la_paz	1	463.11081964705875	10696.01882680882
52-los_cabos	1	604.48274670588239	2714.0759927185509
53-mulege	1	84.024251858823519	15000.829103003107
