load_zone	period	peak_demand_mw
01-hermosillo	2016	1824.7001749999999
01-hermosillo	2021	2248.2350699999997
01-hermosillo	2026	2771.2331359999998
02-cananea	2016	444.77218319999997
02-cananea	2021	579.69050829999992
02-cananea	2026	702.86571490000006
03-obregon	2016	891.9451299000001
03-obregon	2021	1085.6664599999999
03-obregon	2026	1362.207686
04-los_mochis	2016	760.17893240000001
04-los_mochis	2021	955.78675520000013
04-los_mochis	2026	1181.5738240000001
05-culiacan	2016	866.11914820000004
05-culiacan	2021	1061.376223
05-culiacan	2026	1332.84573
06-mazatlan	2016	432.53886610000001
06-mazatlan	2021	517.84570229999997
06-mazatlan	2026	640.34164550000003
07-juarez	2016	906.24310979999996
07-juarez	2021	1197.020072
07-juarez	2026	1540.230701
08-moctezuma	2016	575.48189109999998
08-moctezuma	2021	761.70188710000002
08-moctezuma	2026	926.73233619999996
09-chihuahua	2016	1744.8417219999999
09-chihuahua	2021	2087.4154719999997
09-chihuahua	2026	2534.052408
10-durango	2016	447.38959580000005
10-durango	2021	526.03610189999995
10-durango	2026	629.1163411
11-laguna	2016	1107.002127
11-laguna	2021	1279.727453
11-laguna	2026	1524.4328150000001
12-rio_escondido	2016	418.85141219999997
12-rio_escondido	2021	535.43672939999999
12-rio_escondido	2026	673.61990020000007
13-nuevo_laredo	2016	332.00469049999998
13-nuevo_laredo	2021	416.69320160000001
13-nuevo_laredo	2026	507.6199982
14-reynosa	2016	761.33527479999998
14-reynosa	2021	1010.490268
14-reynosa	2026	1307.8244500000001
15-matamoros	2016	401.99279160000003
15-matamoros	2021	501.1064533
15-matamoros	2026	610.58936089999997
16-monterrey	2016	5328.5763023999998
16-monterrey	2021	6829.9375804800002
16-monterrey	2026	8730.4349184000002
17-saltillo	2016	1492.33959
17-saltillo	2021	1814.337125
17-saltillo	2026	2372.3460879999998
18-valles	2016	355.90419900000001
18-valles	2021	469.2699551
18-valles	2026	598.1003025
19-huasteca	2016	701.68248640000002
19-huasteca	2021	872.02488959999994
19-huasteca	2026	1097.7607070000001
20-tamazunchale	2016	222.02401260000002
20-tamazunchale	2021	284.58073252000003
20-tamazunchale	2026	363.76812160000003
21-guemez	2016	260.86280780000004
21-guemez	2021	358.33285760000001
21-guemez	2026	466.72039510000002
22-tepic	2016	540.26929820000009
22-tepic	2021	667.29831309999997
22-tepic	2026	828.76369739999996
23-guadalajara	2016	2594.1601009999999
23-guadalajara	2021	2928.2173379999999
23-guadalajara	2026	3449.8023640000001
24-aguascalientes	2016	1740.4149179999999
24-aguascalientes	2021	2197.7888250000001
24-aguascalientes	2026	2756.9222930000001
25-san_luis_potosi	2016	1003.019645
25-san_luis_potosi	2021	1311.3291550000001
25-san_luis_potosi	2026	1659.1930460000001
26-salamanca	2016	1103.6631769999999
26-salamanca	2021	1441.9767359999998
26-salamanca	2026	1848.8905050000001
27-manzanillo	2016	462.62027399999999
27-manzanillo	2021	556.05580029999999
27-manzanillo	2026	682.08139920000008
28-carapan	2016	769.39197620000004
28-carapan	2021	940.77755569999999
28-carapan	2026	1168.8361689999999
29-lazaro_cardenas	2016	737.15663380000001
29-lazaro_cardenas	2021	855.18657870000004
29-lazaro_cardenas	2026	1012.590764
30-queretaro	2016	2205.5194329999999
30-queretaro	2021	2826.0974109999997
30-queretaro	2026	3563.407569
31-Central	2016	9616.2054690000004
31-Central	2021	11731.529259999999
31-Central	2026	14325.053319999999
32-poza_rica	2016	724.91552000000001
32-poza_rica	2021	892.4241199999999
32-poza_rica	2026	1101.3846920000001
33-veracruz	2016	758.88737279999987
33-veracruz	2021	973.98163629999999
33-veracruz	2026	1202.7893140000001
34-puebla	2016	2401.073316
34-puebla	2021	2987.0122719999999
34-puebla	2026	3715.2541799999999
35-acapulco	2016	679.18431250000003
35-acapulco	2021	861.12365899999998
35-acapulco	2026	1062.160353
36-temascal	2016	933.33172570000011
36-temascal	2021	1131.26196
36-temascal	2026	1403.5511080000001
37-coatzacoalcos	2016	791.96619850000002
37-coatzacoalcos	2021	916.36897939999994
37-coatzacoalcos	2026	1131.4923630000001
38-tabasco	2016	1159.8326890000001
38-tabasco	2021	1496.023856
38-tabasco	2026	1901.7138120000002
39-grijalva	2016	663.84672860000001
39-grijalva	2021	871.84984839999993
39-grijalva	2026	1114.0789119999999
40-ixtepec	2016	267.92535409999999
40-ixtepec	2021	344.98923739999998
40-ixtepec	2026	437.39876870000001
41-lerma	2016	386.69678339999996
41-lerma	2021	499.78757469999994
41-lerma	2026	629.91958739999995
42-merida	2016	792.59364160000007
42-merida	2021	971.39462339999989
42-merida	2026	1227.7350039999999
43-cancun	2016	895.73282899999992
43-cancun	2021	1169.9975650000001
43-cancun	2026	1509.958539
44-chetumal	2016	109.85512479999998
44-chetumal	2021	141.00140459999997
44-chetumal	2026	185.01921919999998
45-cozumel	2016	52.869851359999998
45-cozumel	2021	67.257095399999997
45-cozumel	2026	87.371464279999998
46-tijuana	2016	871.51151060000007
46-tijuana	2021	1057.650873
46-tijuana	2026	1278.0181949999999
47-ensenada	2016	279.23225389999999
47-ensenada	2021	348.47671860000003
47-ensenada	2026	431.77400499999999
48-mexicali	2016	1490.1063859999999
48-mexicali	2021	1853.4157280000002
48-mexicali	2026	2290.4072270000001
49-san_luis_rio_colorado	2016	314.32722230000002
49-san_luis_rio_colorado	2021	394.84872350000001
49-san_luis_rio_colorado	2026	494.70460439999999
50-villa_constitucion	2016	50.084732373800001
50-villa_constitucion	2021	58.292304985400001
50-villa_constitucion	2026	70.071243141799997
51-la_paz	2016	230.064984068
51-la_paz	2021	300.98271393700003
51-la_paz	2026	393.64419673099997
52-los_cabos	2016	274.97369792799998
52-los_cabos	2021	378.40177869800004
52-los_cabos	2026	513.81033473699995
53-mulege	2016	47.767317060000003
53-mulege	2021	58.443573559999997
53-mulege	2026	71.420614079999993
