load_zone	period	peak_demand_mw
01-hermosillo	2016	1782.635447
01-hermosillo	2021	2159.218415
01-hermosillo	2026	2609.495312
02-cananea	2016	434.5188709
02-cananea	2021	556.7382332
02-cananea	2026	661.8442758
03-obregon	2016	871.3831607
03-obregon	2021	1042.680565
03-obregon	2026	1282.704989
04-los_mochis	2016	742.6545631
04-los_mochis	2021	917.9433195
04-los_mochis	2026	1112.613484
05-culiacan	2016	846.1525441
05-culiacan	2021	1019.352076
05-culiacan	2026	1255.056689
06-mazatlan	2016	422.5675679
06-mazatlan	2021	497.3421115
06-mazatlan	2026	602.9693064
07-juarez	2016	879.5385172
07-juarez	2021	1112.868224
07-juarez	2026	1370.020844
08-moctezuma	2016	558.5239586
08-moctezuma	2021	708.1533937
08-moctezuma	2026	824.3197703
09-chihuahua	2016	1693.425842
09-chihuahua	2021	1940.667833
09-chihuahua	2026	2254.015985
10-durango	2016	434.2062052
10-durango	2021	489.0551764
10-durango	2026	559.5931182
11-laguna	2016	1074.381696
11-laguna	2021	1189.761183
11-laguna	2026	1355.968772
12-rio_escondido	2016	403.3255688
12-rio_escondido	2021	496.1491293
12-rio_escondido	2026	600.1241596
13-nuevo_laredo	2016	319.6980522
13-nuevo_laredo	2021	386.1183924
13-nuevo_laredo	2026	452.2357856
14-reynosa	2016	733.1143547
14-reynosa	2021	936.3456766
14-reynosa	2026	1165.133406
15-matamoros	2016	387.0918579
15-matamoros	2021	464.3378328
15-matamoros	2026	543.9706085
16-monterrey	2016	5131.058427
16-monterrey	2021	6328.791803
16-monterrey	2026	7777.895095
17-saltillo	2016	1437.022048
17-saltillo	2021	1681.210375
17-saltillo	2026	2113.509714
18-valles	2016	342.7116617
18-valles	2021	434.8373335
18-valles	2026	532.8441771
19-huasteca	2016	675.6727558
19-huasteca	2021	808.0401773
19-huasteca	2026	977.9888054
20-tamazunchale	2016	213.7941011
20-tamazunchale	2021	263.6996584
20-tamazunchale	2026	324.0789623
21-guemez	2016	251.1932329
21-guemez	2021	332.040231
21-guemez	2026	415.7985606
22-tepic	2016	525.4464315
22-tepic	2021	630.9125461
22-tepic	2026	761.0584445
23-guadalajara	2016	2522.986541
23-guadalajara	2021	2768.550467
23-guadalajara	2026	3167.973246
24-aguascalientes	2016	1692.664771
24-aguascalientes	2021	2077.950021
24-aguascalientes	2026	2531.697513
25-san_luis_potosi	2016	975.5007274
25-san_luis_potosi	2021	1239.826327
25-san_luis_potosi	2026	1523.646466
26-salamanca	2016	1073.382996
26-salamanca	2021	1363.350088
26-salamanca	2026	1697.846728
27-manzanillo	2016	449.9277915
27-manzanillo	2021	525.7357525
27-manzanillo	2026	626.3592509
28-carapan	2016	748.2828835
28-carapan	2021	889.4797895
28-carapan	2026	1073.34894
29-lazaro_cardenas	2016	716.9319522
29-lazaro_cardenas	2021	808.5558306
29-lazaro_cardenas	2026	929.8678909
30-queretaro	2016	2145.008646
30-queretaro	2021	2671.998832
30-queretaro	2026	3272.297556
31-central	2016	9227.683841
31-central	2021	10776.91642
31-central	2026	12661.73057
32-poza_rica	2016	693.7591484
32-poza_rica	2021	815.2159569
32-poza_rica	2026	967.2388031
33-veracruz	2016	726.2709143
33-veracruz	2021	889.7175165
33-veracruz	2026	1056.292597
34-puebla	2016	2297.876833
34-puebla	2021	2728.590603
34-puebla	2026	3262.745553
35-acapulco	2016	649.9934367
35-acapulco	2021	786.6234585
35-acapulco	2026	932.7918899
36-temascal	2016	893.2177686
36-temascal	2021	1033.390717
36-temascal	2026	1232.602109
37-coatzacoalcos	2016	757.9280347
37-coatzacoalcos	2021	837.0892244
37-coatzacoalcos	2026	993.6794349
38-tabasco	2016	1109.983876
38-tabasco	2021	1366.5952
38-tabasco	2026	1670.089847
39-grijalva	2016	635.3150517
39-grijalva	2021	796.4216705
39-grijalva	2026	978.3868987
40-ixtepec	2016	256.4101062
40-ixtepec	2021	315.1424586
40-ixtepec	2026	384.1246973
41-lerma	2016	370.3301264
41-lerma	2021	459.9690977
41-lerma	2026	558.8807661
42-merida	2016	759.0476986
42-merida	2021	894.0028345
42-merida	2026	1089.277891
43-cancun	2016	857.8215957
43-cancun	2021	1076.78292
43-cancun	2026	1339.673828
44-chetumal	2016	105.2055874
44-chetumal	2021	129.7677096
44-chetumal	2026	164.1537825
45-cozumel	2016	50.63217378
45-cozumel	2021	61.89866865
45-cozumel	2026	77.51819735
46-tijuana	2016	834.3463611
46-tijuana	2021	982.5903815
46-tijuana	2026	1153.056076
47-ensenada	2016	267.3245415
47-ensenada	2021	323.7456524
47-ensenada	2026	389.5559875
48-mexicali	2016	1426.561584
48-mexicali	2021	1721.88055
48-mexicali	2026	2066.455689
49-san_luis_rio_colorado	2016	300.9229034
49-san_luis_rio_colorado	2021	366.8266795
49-san_luis_rio_colorado	2026	446.333356
50-villa_constitucion	2016	48.55570952
50-villa_constitucion	2021	55.20691071
50-villa_constitucion	2026	64.80774933
51-la_paz	2016	223.0413942
51-la_paz	2021	285.0517889
51-la_paz	2026	364.0750939
52-los_cabos	2016	266.5791023
52-los_cabos	2021	358.3730857
52-los_cabos	2026	475.214794
53-mulege	2016	46.24686345
53-mulege	2021	55.19262634
53-mulege	2026	65.86881304
