timepoint_id	timestamp	timeseries
0	2016010801	201601P
1	2016010803	201601P
2	2016010805	201601P
3	2016010807	201601P
4	2016010809	201601P
5	2016010811	201601P
6	2016010813	201601P
7	2016010815	201601P
8	2016010817	201601P
9	2016010819	201601P
10	2016010821	201601P
11	2016010823	201601P
12	2016012600	201601M
13	2016012602	201601M
14	2016012604	201601M
15	2016012606	201601M
16	2016012608	201601M
17	2016012610	201601M
18	2016012612	201601M
19	2016012614	201601M
20	2016012616	201601M
21	2016012618	201601M
22	2016012620	201601M
23	2016012622	201601M
24	2016022500	201602P
25	2016022502	201602P
26	2016022504	201602P
27	2016022506	201602P
28	2016022508	201602P
29	2016022510	201602P
30	2016022512	201602P
31	2016022514	201602P
32	2016022516	201602P
33	2016022518	201602P
34	2016022520	201602P
35	2016022522	201602P
36	2016021000	201602M
37	2016021002	201602M
38	2016021004	201602M
39	2016021006	201602M
40	2016021008	201602M
41	2016021010	201602M
42	2016021012	201602M
43	2016021014	201602M
44	2016021016	201602M
45	2016021018	201602M
46	2016021020	201602M
47	2016021022	201602M
48	2016032600	201603P
49	2016032602	201603P
50	2016032604	201603P
51	2016032606	201603P
52	2016032608	201603P
53	2016032610	201603P
54	2016032612	201603P
55	2016032614	201603P
56	2016032616	201603P
57	2016032618	201603P
58	2016032620	201603P
59	2016032622	201603P
60	2016032200	201603M
61	2016032202	201603M
62	2016032204	201603M
63	2016032206	201603M
64	2016032208	201603M
65	2016032210	201603M
66	2016032212	201603M
67	2016032214	201603M
68	2016032216	201603M
69	2016032218	201603M
70	2016032220	201603M
71	2016032222	201603M
72	2016040200	201604P
73	2016040202	201604P
74	2016040204	201604P
75	2016040206	201604P
76	2016040208	201604P
77	2016040210	201604P
78	2016040212	201604P
79	2016040214	201604P
80	2016040216	201604P
81	2016040218	201604P
82	2016040220	201604P
83	2016040222	201604P
84	2016042000	201604M
85	2016042002	201604M
86	2016042004	201604M
87	2016042006	201604M
88	2016042008	201604M
89	2016042010	201604M
90	2016042012	201604M
91	2016042014	201604M
92	2016042016	201604M
93	2016042018	201604M
94	2016042020	201604M
95	2016042022	201604M
96	2016050600	201605P
97	2016050602	201605P
98	2016050604	201605P
99	2016050606	201605P
100	2016050608	201605P
101	2016050610	201605P
102	2016050612	201605P
103	2016050614	201605P
104	2016050616	201605P
105	2016050618	201605P
106	2016050620	201605P
107	2016050622	201605P
108	2016050500	201605M
109	2016050502	201605M
110	2016050504	201605M
111	2016050506	201605M
112	2016050508	201605M
113	2016050510	201605M
114	2016050512	201605M
115	2016050514	201605M
116	2016050516	201605M
117	2016050518	201605M
118	2016050520	201605M
119	2016050522	201605M
120	2016060901	201606P
121	2016060903	201606P
122	2016060905	201606P
123	2016060907	201606P
124	2016060909	201606P
125	2016060911	201606P
126	2016060913	201606P
127	2016060915	201606P
128	2016060917	201606P
129	2016060919	201606P
130	2016060921	201606P
131	2016060923	201606P
132	2016061900	201606M
133	2016061902	201606M
134	2016061904	201606M
135	2016061906	201606M
136	2016061908	201606M
137	2016061910	201606M
138	2016061912	201606M
139	2016061914	201606M
140	2016061916	201606M
141	2016061918	201606M
142	2016061920	201606M
143	2016061922	201606M
144	2016070201	201607P
145	2016070203	201607P
146	2016070205	201607P
147	2016070207	201607P
148	2016070209	201607P
149	2016070211	201607P
150	2016070213	201607P
151	2016070215	201607P
152	2016070217	201607P
153	2016070219	201607P
154	2016070221	201607P
155	2016070223	201607P
156	2016071100	201607M
157	2016071102	201607M
158	2016071104	201607M
159	2016071106	201607M
160	2016071108	201607M
161	2016071110	201607M
162	2016071112	201607M
163	2016071114	201607M
164	2016071116	201607M
165	2016071118	201607M
166	2016071120	201607M
167	2016071122	201607M
168	2016082601	201608P
169	2016082603	201608P
170	2016082605	201608P
171	2016082607	201608P
172	2016082609	201608P
173	2016082611	201608P
174	2016082613	201608P
175	2016082615	201608P
176	2016082617	201608P
177	2016082619	201608P
178	2016082621	201608P
179	2016082623	201608P
180	2016080100	201608M
181	2016080102	201608M
182	2016080104	201608M
183	2016080106	201608M
184	2016080108	201608M
185	2016080110	201608M
186	2016080112	201608M
187	2016080114	201608M
188	2016080116	201608M
189	2016080118	201608M
190	2016080120	201608M
191	2016080122	201608M
192	2016093000	201609P
193	2016093002	201609P
194	2016093004	201609P
195	2016093006	201609P
196	2016093008	201609P
197	2016093010	201609P
198	2016093012	201609P
199	2016093014	201609P
200	2016093016	201609P
201	2016093018	201609P
202	2016093020	201609P
203	2016093022	201609P
204	2016091200	201609M
205	2016091202	201609M
206	2016091204	201609M
207	2016091206	201609M
208	2016091208	201609M
209	2016091210	201609M
210	2016091212	201609M
211	2016091214	201609M
212	2016091216	201609M
213	2016091218	201609M
214	2016091220	201609M
215	2016091222	201609M
216	2016102801	201610P
217	2016102803	201610P
218	2016102805	201610P
219	2016102807	201610P
220	2016102809	201610P
221	2016102811	201610P
222	2016102813	201610P
223	2016102815	201610P
224	2016102817	201610P
225	2016102819	201610P
226	2016102821	201610P
227	2016102823	201610P
228	2016101100	201610M
229	2016101102	201610M
230	2016101104	201610M
231	2016101106	201610M
232	2016101108	201610M
233	2016101110	201610M
234	2016101112	201610M
235	2016101114	201610M
236	2016101116	201610M
237	2016101118	201610M
238	2016101120	201610M
239	2016101122	201610M
240	2016112401	201611P
241	2016112403	201611P
242	2016112405	201611P
243	2016112407	201611P
244	2016112409	201611P
245	2016112411	201611P
246	2016112413	201611P
247	2016112415	201611P
248	2016112417	201611P
249	2016112419	201611P
250	2016112421	201611P
251	2016112423	201611P
252	2016111600	201611M
253	2016111602	201611M
254	2016111604	201611M
255	2016111606	201611M
256	2016111608	201611M
257	2016111610	201611M
258	2016111612	201611M
259	2016111614	201611M
260	2016111616	201611M
261	2016111618	201611M
262	2016111620	201611M
263	2016111622	201611M
264	2016120901	201612P
265	2016120903	201612P
266	2016120905	201612P
267	2016120907	201612P
268	2016120909	201612P
269	2016120911	201612P
270	2016120913	201612P
271	2016120915	201612P
272	2016120917	201612P
273	2016120919	201612P
274	2016120921	201612P
275	2016120923	201612P
276	2016121700	201612M
277	2016121702	201612M
278	2016121704	201612M
279	2016121706	201612M
280	2016121708	201612M
281	2016121710	201612M
282	2016121712	201612M
283	2016121714	201612M
284	2016121716	201612M
285	2016121718	201612M
286	2016121720	201612M
287	2016121722	201612M
288	2017010801	201701P
289	2017010803	201701P
290	2017010805	201701P
291	2017010807	201701P
292	2017010809	201701P
293	2017010811	201701P
294	2017010813	201701P
295	2017010815	201701P
296	2017010817	201701P
297	2017010819	201701P
298	2017010821	201701P
299	2017010823	201701P
300	2017010600	201701M
301	2017010602	201701M
302	2017010604	201701M
303	2017010606	201701M
304	2017010608	201701M
305	2017010610	201701M
306	2017010612	201701M
307	2017010614	201701M
