TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
201601P	2020	2	24	60.0
201601M	2020	2	24	1800.0
201602P	2020	2	24	60.0
201602M	2020	2	24	1680.0
201603P	2020	2	24	60.0
201603M	2020	2	24	1800.0
201604P	2020	2	24	60.0
201604M	2020	2	24	1740.0
201605P	2020	2	24	60.0
201605M	2020	2	24	1800.0
201606P	2020	2	24	60.0
201606M	2020	2	24	1740.0
201607P	2020	2	24	60.0
201607M	2020	2	24	1800.0
201608P	2020	2	24	60.0
201608M	2020	2	24	1800.0
201609P	2020	2	24	60.0
201609M	2020	2	24	1740.0
201610P	2020	2	24	60.0
201610M	2020	2	24	1800.0
201611P	2020	2	24	60.0
201611M	2020	2	24	1740.0
201612P	2020	2	24	60.0
201612M	2020	2	24	1800.0
201701P	2020	2	24	60.0
201701M	2020	2	24	1800.0
201702P	2020	2	24	60.0
201702M	2020	2	24	1620.0
201703P	2020	2	24	60.0
201703M	2020	2	24	1800.0
201704P	2020	2	24	60.0
201704M	2020	2	24	1740.0
201705P	2020	2	24	60.0
201705M	2020	2	24	1800.0
201706P	2020	2	24	60.0
201706M	2020	2	24	1740.0
201707P	2020	2	24	60.0
201707M	2020	2	24	1800.0
201708P	2020	2	24	60.0
201708M	2020	2	24	1800.0
201709P	2020	2	24	60.0
201709M	2020	2	24	1740.0
201710P	2020	2	24	60.0
201710M	2020	2	24	1800.0
201711P	2020	2	24	60.0
201711M	2020	2	24	1740.0
201712P	2020	2	24	60.0
201712M	2020	2	24	1800.0
201801P	2020	2	24	60.0
201801M	2020	2	24	1800.0
201802P	2020	2	24	60.0
201802M	2020	2	24	1620.0
201803P	2020	2	24	60.0
201803M	2020	2	24	1800.0
201804P	2020	2	24	60.0
201804M	2020	2	24	1740.0
201805P	2020	2	24	60.0
201805M	2020	2	24	1800.0
201806P	2020	2	24	60.0
201806M	2020	2	24	1740.0
201807P	2020	2	24	60.0
201807M	2020	2	24	1800.0
201808P	2020	2	24	60.0
201808M	2020	2	24	1800.0
201809P	2020	2	24	60.0
201809M	2020	2	24	1740.0
201810P	2020	2	24	60.0
201810M	2020	2	24	1800.0
201811P	2020	2	24	60.0
201811M	2020	2	24	1740.0
201812P	2020	2	24	60.0
201812M	2020	2	24	1800.0
201901P	2020	2	24	60.0
201901M	2020	2	24	1800.0
201902P	2020	2	24	60.0
201902M	2020	2	24	1620.0
201903P	2020	2	24	60.0
201903M	2020	2	24	1800.0
201904P	2020	2	24	60.0
201904M	2020	2	24	1740.0
201905P	2020	2	24	60.0
201905M	2020	2	24	1800.0
201906P	2020	2	24	60.0
201906M	2020	2	24	1740.0
201907P	2020	2	24	60.0
201907M	2020	2	24	1800.0
201908P	2020	2	24	60.0
201908M	2020	2	24	1800.0
201909P	2020	2	24	60.0
201909M	2020	2	24	1740.0
201910P	2020	2	24	60.0
201910M	2020	2	24	1800.0
201911P	2020	2	24	60.0
201911M	2020	2	24	1740.0
201912P	2020	2	24	60.0
201912M	2020	2	24	1800.0
202001P	2020	2	24	60.0
202001M	2020	2	24	1800.0
202002P	2020	2	24	60.0
202002M	2020	2	24	1680.0
202003P	2020	2	24	60.0
202003M	2020	2	24	1800.0
202004P	2020	2	24	60.0
202004M	2020	2	24	1740.0
202005P	2020	2	24	60.0
202005M	2020	2	24	1800.0
202006P	2020	2	24	60.0
202006M	2020	2	24	1740.0
202007P	2020	2	24	60.0
202007M	2020	2	24	1800.0
202008P	2020	2	24	60.0
202008M	2020	2	24	1800.0
202009P	2020	2	24	60.0
202009M	2020	2	24	1740.0
202010P	2020	2	24	60.0
202010M	2020	2	24	1800.0
202011P	2020	2	24	60.0
202011M	2020	2	24	1740.0
202012P	2020	2	24	60.0
202012M	2020	2	24	1800.0
202101P	2025	2	24	60.0
202101M	2025	2	24	1800.0
202102P	2025	2	24	60.0
202102M	2025	2	24	1620.0
202103P	2025	2	24	60.0
202103M	2025	2	24	1800.0
202104P	2025	2	24	60.0
202104M	2025	2	24	1740.0
202105P	2025	2	24	60.0
202105M	2025	2	24	1800.0
202106P	2025	2	24	60.0
202106M	2025	2	24	1740.0
202107P	2025	2	24	60.0
202107M	2025	2	24	1800.0
202108P	2025	2	24	60.0
202108M	2025	2	24	1800.0
202109P	2025	2	24	60.0
202109M	2025	2	24	1740.0
202110P	2025	2	24	60.0
202110M	2025	2	24	1800.0
202111P	2025	2	24	60.0
202111M	2025	2	24	1740.0
202112P	2025	2	24	60.0
202112M	2025	2	24	1800.0
202201P	2025	2	24	60.0
202201M	2025	2	24	1800.0
202202P	2025	2	24	60.0
202202M	2025	2	24	1620.0
202203P	2025	2	24	60.0
202203M	2025	2	24	1800.0
202204P	2025	2	24	60.0
202204M	2025	2	24	1740.0
202205P	2025	2	24	60.0
202205M	2025	2	24	1800.0
202206P	2025	2	24	60.0
202206M	2025	2	24	1740.0
202207P	2025	2	24	60.0
202207M	2025	2	24	1800.0
202208P	2025	2	24	60.0
202208M	2025	2	24	1800.0
202209P	2025	2	24	60.0
202209M	2025	2	24	1740.0
202210P	2025	2	24	60.0
202210M	2025	2	24	1800.0
202211P	2025	2	24	60.0
202211M	2025	2	24	1740.0
202212P	2025	2	24	60.0
202212M	2025	2	24	1800.0
202301P	2025	2	24	60.0
202301M	2025	2	24	1800.0
202302P	2025	2	24	60.0
202302M	2025	2	24	1620.0
202303P	2025	2	24	60.0
202303M	2025	2	24	1800.0
202304P	2025	2	24	60.0
202304M	2025	2	24	1740.0
202305P	2025	2	24	60.0
202305M	2025	2	24	1800.0
202306P	2025	2	24	60.0
