ID_old,ID,LAT,LON
239,1,15,-92.6667
289,2,15.5,-92.6667
332,3,16,-97.3333
333,4,16,-96.6667
334,5,16,-96
338,6,16,-93.3333
339,7,16,-92.6667
340,8,16,-92
380,9,16.5,-98.6667
381,10,16.5,-98
382,11,16.5,-97.3333
383,12,16.5,-96.6667
384,13,16.5,-96
385,14,16.5,-95.3333
386,15,16.5,-94.6667
387,16,16.5,-94
388,17,16.5,-93.3333
389,18,16.5,-92.6667
390,19,16.5,-92
391,20,16.5,-91.3333
392,21,16.5,-90.6667
428,22,17,-100
429,23,17,-99.3333
430,24,17,-98.6667
431,25,17,-98
432,26,17,-97.3333
433,27,17,-96.6667
434,28,17,-96
435,29,17,-95.3333
436,30,17,-94.6667
437,31,17,-94
438,32,17,-93.3333
439,33,17,-92.6667
440,34,17,-92
441,35,17,-91.3333
476,36,17.5,-101.3333
477,37,17.5,-100.6667
478,38,17.5,-100
479,39,17.5,-99.3333
480,40,17.5,-98.6667
481,41,17.5,-98
482,42,17.5,-97.3333
483,43,17.5,-96.6667
484,44,17.5,-96
485,45,17.5,-95.3333
486,46,17.5,-94.6667
487,47,17.5,-94
488,48,17.5,-93.3333
489,49,17.5,-92.6667
490,50,17.5,-92
491,51,17.5,-91.3333
525,52,18,-102
526,53,18,-101.3333
527,54,18,-100.6667
528,55,18,-100
529,56,18,-99.3333
530,57,18,-98.6667
531,58,18,-98
532,59,18,-97.3333
533,60,18,-96.6667
534,61,18,-96
535,62,18,-95.3333
536,63,18,-94.6667
537,64,18,-94
538,65,18,-93.3333
539,66,18,-92.6667
540,67,18,-92
541,68,18,-91.3333
542,69,18,-90.6667
543,70,18,-90
544,71,18,-89.3333
573,72,18.5,-103.3333
574,73,18.5,-102.6667
575,74,18.5,-102
576,75,18.5,-101.3333
577,76,18.5,-100.6667
578,77,18.5,-100
579,78,18.5,-99.3333
580,79,18.5,-98.6667
581,80,18.5,-98
582,81,18.5,-97.3333
583,82,18.5,-96.6667
584,83,18.5,-96
585,84,18.5,-95.3333
589,85,18.5,-92.6667
590,86,18.5,-92
591,87,18.5,-91.3333
592,88,18.5,-90.6667
593,89,18.5,-90
594,90,18.5,-89.3333
595,91,18.5,-88.6667
596,92,18.5,-88
622,93,19,-104
623,94,19,-103.3333
624,95,19,-102.6667
625,96,19,-102
626,97,19,-101.3333
627,98,19,-100.6667
628,99,19,-100
629,100,19,-99.3333
630,101,19,-98.6667
631,102,19,-98
632,103,19,-97.3333
633,104,19,-96.6667
634,105,19,-96
642,106,19,-90.6667
643,107,19,-90
644,108,19,-89.3333
645,109,19,-88.6667
646,110,19,-88
671,111,19.5,-104.6667
672,112,19.5,-104
673,113,19.5,-103.3333
674,114,19.5,-102.6667
675,115,19.5,-102
676,116,19.5,-101.3333
677,117,19.5,-100.6667
678,118,19.5,-100
679,119,19.5,-99.3333
680,120,19.5,-98.6667
681,121,19.5,-98
682,122,19.5,-97.3333
683,123,19.5,-96.6667
692,124,19.5,-90.6667
693,125,19.5,-90
694,126,19.5,-89.3333
695,127,19.5,-88.6667
696,128,19.5,-88
720,129,20,-105.3333
721,130,20,-104.6667
722,131,20,-104
723,132,20,-103.3333
724,133,20,-102.6667
725,134,20,-102
726,135,20,-101.3333
727,136,20,-100.6667
728,137,20,-100
729,138,20,-99.3333
730,139,20,-98.6667
731,140,20,-98
732,141,20,-97.3333
733,142,20,-96.6667
743,143,20,-90
744,144,20,-89.3333
745,145,20,-88.6667
746,146,20,-88
770,147,20.5,-105.3333
771,148,20.5,-104.6667
772,149,20.5,-104
773,150,20.5,-103.3333
774,151,20.5,-102.6667
775,152,20.5,-102
776,153,20.5,-101.3333
777,154,20.5,-100.6667
778,155,20.5,-100
779,156,20.5,-99.3333
780,157,20.5,-98.6667
781,158,20.5,-98
782,159,20.5,-97.3333
793,160,20.5,-90
794,161,20.5,-89.3333
795,162,20.5,-88.6667
796,163,20.5,-88
797,164,20.5,-87.3333
821,165,21,-104.6667
822,166,21,-104
823,167,21,-103.3333
824,168,21,-102.6667
825,169,21,-102
826,170,21,-101.3333
827,171,21,-100.6667
828,172,21,-100
829,173,21,-99.3333
830,174,21,-98.6667
831,175,21,-98
832,176,21,-97.3333
843,177,21,-90
844,178,21,-89.3333
845,179,21,-88.6667
846,180,21,-88
847,181,21,-87.3333
871,182,21.5,-104.6667
872,183,21.5,-104
873,184,21.5,-103.3333
874,185,21.5,-102.6667
875,186,21.5,-102
876,187,21.5,-101.3333
877,188,21.5,-100.6667
878,189,21.5,-100
879,190,21.5,-99.3333
880,191,21.5,-98.6667
881,192,21.5,-98
896,193,21.5,-88
919,194,22,-106
920,195,22,-105.3333
921,196,22,-104.6667
922,197,22,-104
923,198,22,-103.3333
924,199,22,-102.6667
925,200,22,-102
926,201,22,-101.3333
927,202,22,-100.6667
928,203,22,-100
929,204,22,-99.3333
