LOAD_ZONE	TIMEPOINT	zone_demand_mw
01-hermosillo	1	554.3013169
01-hermosillo	2	643.2791451
01-hermosillo	3	657.6087305
01-hermosillo	4	493.77021449999995
01-hermosillo	5	601.8453688999999
01-hermosillo	6	688.0565701
01-hermosillo	7	706.8538313999999
01-hermosillo	8	548.3525241
02-cananea	1	141.9411231
02-cananea	2	164.72586569999999
02-cananea	3	168.3952733
02-cananea	4	126.4407943
02-cananea	5	154.1158301
02-cananea	6	176.1921166
02-cananea	7	181.0055715
02-cananea	8	140.417803
03-obregon	1	286.1105682
03-obregon	2	332.03774930000003
03-obregon	3	339.4341701
03-obregon	4	254.8665722
03-obregon	5	310.6511119
03-obregon	6	355.1502589
03-obregon	7	364.8527347
03-obregon	8	283.0400135
04-los_mochis	1	229.86626980000003
04-los_mochis	2	266.7649761
04-los_mochis	3	272.70739080000004
04-los_mochis	4	204.76429319999997
04-los_mochis	5	249.5825749
04-los_mochis	6	285.3339733
04-los_mochis	7	293.1291133
04-los_mochis	8	227.3993321
05-culiacan	1	273.18658910000005
05-culiacan	2	317.03918089999996
05-culiacan	3	324.101496
05-culiacan	4	243.35392430000002
05-culiacan	5	296.6186052
05-culiacan	6	339.107669
05-culiacan	7	348.3718716
05-culiacan	8	270.2547353
06-mazatlan	1	138.7687765
06-mazatlan	2	161.0442862
06-mazatlan	3	164.63168340000001
06-mazatlan	4	123.614876
06-mazatlan	5	150.671382
06-mazatlan	6	172.25426940000003
06-mazatlan	7	176.9601449
06-mazatlan	8	137.2795022
07-juarez	1	465.8304152
07-juarez	2	498.4635216
07-juarez	3	519.1327196000001
07-juarez	4	409.6550941
07-juarez	5	464.49140389999997
07-juarez	6	520.4237369
07-juarez	7	518.3766409
07-juarez	8	415.8480227
08-moctezuma	1	252.3170603
08-moctezuma	2	269.9927836
08-moctezuma	3	281.18825539999995
08-moctezuma	4	221.8896958
08-moctezuma	5	251.5917849
08-moctezuma	6	281.8875349
08-moctezuma	7	280.7787253
08-moctezuma	8	225.2440957
09-chihuahua	1	874.1779566
09-chihuahua	2	935.4172861
09-chihuahua	3	974.2051297
09-chihuahua	4	768.7592767000001
09-chihuahua	5	871.6651663999999
09-chihuahua	6	976.6278543
09-chihuahua	7	972.7862713
09-chihuahua	8	780.3809345
10-durango	1	205.8478619
10-durango	2	220.2682496
10-durango	3	229.40185290000002
10-durango	4	181.02430090000001
10-durango	5	205.2561603
10-durango	6	229.97234619999998
10-durango	7	229.06774590000003
10-durango	8	183.7609215
11-laguna	1	600.1534732999999
11-laguna	2	642.1963961
11-laguna	3	668.8255954
11-laguna	4	527.779895
11-laguna	5	598.4283557
11-laguna	6	670.4888798999999
11-laguna	7	667.8515
11-laguna	8	535.7585659
12-rio_escondido	1	213.2145964
12-rio_escondido	2	235.5663637
12-rio_escondido	3	227.96760669999998
12-rio_escondido	4	212.2822574
12-rio_escondido	5	223.14818780000002
12-rio_escondido	6	249.91156919999997
12-rio_escondido	7	223.3519503
12-rio_escondido	8	201.3268762
13-nuevo_laredo	1	181.3736415
13-nuevo_laredo	2	200.3874496
13-nuevo_laredo	3	193.9234727
13-nuevo_laredo	4	180.5805358
13-nuevo_laredo	5	189.82377419999997
13-nuevo_laredo	6	212.59037659999998
13-nuevo_laredo	7	189.9971073
13-nuevo_laredo	8	171.26120480000003
14-reynosa	1	399.4772271
14-reynosa	2	441.35532620000004
14-reynosa	3	427.11835360000003
14-reynosa	4	397.7304039
14-reynosa	5	418.0887275
14-reynosa	6	468.2323929
14-reynosa	7	418.47049530000004
14-reynosa	8	377.20448589999995
15-matamoros	1	220.3875425
15-matamoros	2	243.4912659
15-matamoros	3	235.6368722
15-matamoros	4	219.42383790000002
15-matamoros	5	230.65531890000003
15-matamoros	6	258.3190715
15-matamoros	7	230.8659363
15-matamoros	8	208.0998967
16-monterrey	1	2573.207704
16-monterrey	2	2842.962874
16-monterrey	3	2751.2563010000003
16-monterrey	4	2561.955652
16-monterrey	5	2693.092525
16-monterrey	6	3016.089827
16-monterrey	7	2695.55166
16-monterrey	8	2429.739228
17-saltillo	1	698.3546357999999
17-saltillo	2	771.5647281
17-saltillo	3	746.6760607000001
17-saltillo	4	695.3008897000001
17-saltillo	5	730.8907272000001
17-saltillo	6	818.5504455
17-saltillo	7	731.5581227999999
17-saltillo	8	659.4180683
18-valles	1	178.9860324
18-valles	2	197.749542
18-valles	3	191.3706571
18-valles	4	178.20336709999998
18-valles	5	187.3249273
18-valles	6	209.79182930000002
18-valles	7	187.49597859999997
18-valles	8	169.00671619999997
19-huasteca	1	380.08065110000007
19-huasteca	2	419.9253635
19-huasteca	3	406.37966560000007
19-huasteca	4	378.41864480000004
19-huasteca	5	397.788472
19-huasteca	6	445.49741689999996
19-huasteca	7	398.1517032
19-huasteca	8	358.8893607
20-tamazunchale	1	107.2169877
20-tamazunchale	2	118.45678640000001
20-tamazunchale	3	114.63567920000001
20-tamazunchale	4	106.7481522
20-tamazunchale	5	112.21218859999999
20-tamazunchale	6	125.67040940000001
20-tamazunchale	7	112.3146525
20-tamazunchale	8	101.23913449999999
21-guemez	1	127.31728020000001
21-guemez	2	140.66423799999998
21-guemez	3	136.12677630000002
21-guemez	4	126.7605507
21-guemez	5	133.2489466
21-guemez	6	149.2302208
21-guemez	7	133.3706197
21-guemez	8	120.2187409
22-tepic	1	331.93952260000003
22-tepic	2	368.8996521
22-tepic	3	347.389478
22-tepic	4	291.11560430000003
22-tepic	5	343.09353839999994
22-tepic	6	384.5824703
22-tepic	7	365.27382589999996
22-tepic	8	301.39006820000003
23-guadalajara	1	1673.181435
23-guadalajara	2	1859.483452
23-guadalajara	3	1751.0588100000002
23-guadalajara	4	1467.403522
23-guadalajara	5	1729.4046050000002
23-guadalajara	6	1938.5346
23-guadalajara	7	1841.2070350000001
23-guadalajara	8	1519.193204
24-aguascalientes	1	1143.422747
24-aguascalientes	2	1270.738266
24-aguascalientes	3	1196.642774
24-aguascalientes	4	1002.797742
24-aguascalientes	5	1181.8446720000002
24-aguascalientes	6	1324.76043
24-aguascalientes	7	1258.248485
24-aguascalientes	8	1038.189899
25-san_luis_potosi	1	641.1651498
25-san_luis_potosi	2	712.5563080000001
