PROJECT	build_year	gen_overnight_cost	gen_fixed_om	g_variable_o_m
cerro_prieto_i_u5	2015.0	2038100.0	87118.0	.
cerro_prieto_ii_central	2015.0	2038100.0	87118.0	.
cerro_prieto_iii_central	2015.0	2038100.0	87118.0	.
cerro_prieto_iv_central	2015.0	2038100.0	87118.0	.
cerro_prieto_fotovoltaica	2015.0	2353000.0	19000.0	.
cipres_tg	2015.0	1085000.0	20058.0	.
mexicali	2015.0	910280.0	16024.8	.
mexicali_tg_1	2015.0	1085000.0	20058.0	.
mexicali_tg_2	2015.0	1085000.0	20058.0	.
mexicali_tg_3	2015.0	1085000.0	20058.0	.
presidente_juarez_rosarito	2015.0	910280.0	16024.8	.
presidente_juarez_rosarito5_tc	2015.0	1728420.0	32104.6	.
presidente_juarez_rosarito6_tc	2015.0	1728420.0	32104.6	.
tijuana_1_tg	2015.0	622320.0	7634.45	.
tijuana_2_tg	2015.0	622320.0	7634.45	.
tijuana_3_tg_150mw	2015.0	622320.0	7634.45	.
tijuana_tg_central	2015.0	622320.0	7634.45	.
baja_california_sur_i	2015.0	3167700.0	53203.8	.
ciudad_constitucion	2015.0	1085000.0	20058.0	.
guerrero_negro	2015.0	1085000.0	20058.0	.
guerrero_negro_ii	2015.0	3167700.0	53203.8	.
la_paz_tg1	2015.0	1085000.0	20058.0	.
la_paz_tg2	2015.0	1085000.0	20058.0	.
los_cabos_cfe_25000	2015.0	1085000.0	20058.0	.
los_cabos_cfe_30000	2015.0	1085000.0	20058.0	.
los_cabos_1_tg	2015.0	1085000.0	20058.0	.
los_cabos_2_tg	2015.0	1085000.0	20058.0	.
los_cabos_3_tg	2015.0	1085000.0	20058.0	.
punta_prieta_ii_u1	2015.0	1728420.0	44300.0	.
punta_prieta_ii_u2	2015.0	1728420.0	44300.0	.
punta_prieta_ii_u3	2015.0	1728420.0	44300.0	.
san_carlos_u1	2015.0	3167700.0	53203.8	.
san_carlos_u2	2015.0	3167700.0	53203.8	.
san_carlos_u3	2015.0	3167700.0	53203.8	.
santa_rosalia_u1_u2	2015.0	3167700.0	53203.8	.
santa_rosalia_u3_ci	2015.0	3167700.0	53203.8	.
santa_rosalia_u4_ci	2015.0	3167700.0	53203.8	.
santa_rosalia_u5_ci	2015.0	3167700.0	53203.8	.
tres_virgcos_central	2015.0	2038100.0	87118.0	.
u_movil	2015.0	3167700.0	53203.8	.
chicoasen	2015.0	1910425.0	24967.8	.
aragon	2015.0	622320.0	7634.45	.
atenco_lyfc	2015.0	622320.0	7634.45	.
coapa	2015.0	622320.0	7634.45	.
coyotepec	2015.0	622320.0	7634.45	.
cuautitlan_lyfc	2015.0	622320.0	7634.45	.
ecatepec_lyfc	2015.0	622320.0	7634.45	.
infiernillo	2015.0	1910425.0	24967.8	.
iztapalapa_lyfc	2015.0	622320.0	7634.45	.
malpaso	2015.0	1910425.0	24967.8	.
magdalena	2015.0	622320.0	7634.45	.
aguamilpa_solidaridad	2015.0	1910425.0	24967.8	.
nonoalco_lyfc_u1	2015.0	622320.0	7634.45	.
nonoalco_lyfc_u2	2015.0	622320.0	7634.45	.
nonoalco_lyfc_u3	2015.0	622320.0	7634.45	.
angostura	2015.0	1910425.0	24967.8	.
remedios_lyfc	2015.0	622320.0	7634.45	.
santa_cruz	2015.0	622320.0	7634.45	.
el_cajon	2015.0	1910425.0	24967.8	.
tula	2015.0	910280.0	16024.8	.
tula_tc_u1	2015.0	1728420.0	32104.6	.
tula_tc_u2	2015.0	1728420.0	32104.6	.
tula_tc_u3	2015.0	1728420.0	32104.6	.
tula_tc_u4	2015.0	1728420.0	32104.6	.
tula_tc_u5	2015.0	1728420.0	32104.6	.
valle_de_mexico	2015.0	910280.0	16024.8	.
valle_de_mexico_tc_u1	2015.0	1728420.0	32104.6	.
valle_de_mexico_tc_u2	2015.0	1728420.0	32104.6	.
valle_de_mexico_tc_u3	2015.0	1728420.0	32104.6	.
vallejo_lyfc	2015.0	622320.0	7634.45	.
victoria_lyfc	2015.0	622320.0	7634.45	.
villa_de_las_flores_lyfc	2015.0	622320.0	7634.45	.
la_yesca	2015.0	1910425.0	24967.8	.
guerrero_negro_ii_tgmovil	2015.0	1085000.0	20058.0	.
guerrero_negro_eolica	2015.0	2016000.0	24963.0	.
sta_rosalia	2015.0	2353000.0	19000.0	.
u_movil_cfe-ume	2015.0	1085000.0	20058.0	.
u_movil_de_emergencia_ume-18	2015.0	3167700.0	53203.8	.
u_movil_de_emergencia_ume-19	2015.0	3167700.0	53203.8	.
u_movil_de_emergencia_ume-20	2015.0	3167700.0	53203.8	.
vizcaino	2015.0	1085000.0	20058.0	.
caracol	2015.0	1910425.0	24967.8	.
chavez_u1	2015.0	622320.0	7634.45	.
chavez_u2	2015.0	622320.0	7634.45	.
chihuahua_ii	2015.0	910280.0	16024.8	.
huites	2015.0	1910425.0	24967.8	.
francisco_villa_u4	2015.0	1728420.0	32104.6	.
francisco_villa_u5	2015.0	1728420.0	32104.6	.
gomez_palacio	2015.0	910280.0	16024.8	.
industrial_juarez	2015.0	622320.0	7634.45	.
la_laguna_ii	2015.0	910280.0	16024.8	.
la_laguna_u1_tg	2015.0	622320.0	7634.45	.
la_laguna_u2_tg	2015.0	622320.0	7634.45	.
la_laguna_u3_tg	2015.0	622320.0	7634.45	.
la_laguna_u4_tg	2015.0	622320.0	7634.45	.
lerdo_u1	2015.0	1728420.0	32104.6	.
lerdo_u2	2015.0	1728420.0	32104.6	.
norte_ii	2015.0	910280.0	16024.8	.
norte	2015.0	910280.0	16024.8	.
parque_u2	2015.0	1085000.0	20058.0	.
parque_u3	2015.0	1085000.0	20058.0	.
parque_u4	2015.0	1085000.0	20058.0	.
samalayuca_ii	2015.0	910280.0	16024.8	.
samalayuca_u1	2015.0	1728420.0	32104.6	.
samalayuca_u2	2015.0	1728420.0	32104.6	.
transalta_chihuahua_iii	2015.0	910280.0	16024.8	.
penitas	2015.0	1910425.0	24967.8	.
temascal	2015.0	1910425.0	24967.8	.
culiacan	2015.0	1085000.0	20058.0	.
villita	2015.0	1910425.0	24967.8	.
zimapan	2015.0	1910425.0	24967.8	.
fuerza_y_energia_de_hermosillo	2015.0	910280.0	16024.8	.
guaymas_ii_u1	2015.0	1728420.0	32104.6	.
guaymas_ii_u2	2015.0	1728420.0	32104.6	.
guaymas_ii_u3	2015.0	1728420.0	32104.6	.
guaymas_ii_u4	2015.0	1728420.0	32104.6	.
hermosillo	2015.0	910280.0	16024.8	.
agua_prieta	2015.0	1910425.0	24967.8	.
mazatepec	2015.0	1910425.0	24967.8	.
industrial_caborca_u1	2015.0	1085000.0	20058.0	.
industrial_caborca_u2	2015.0	1085000.0	20058.0	.
mazatlan_ii_u1	2015.0	1728420.0	32104.6	.
mazatlan_ii_u2	2015.0	1728420.0	32104.6	.
mazatlan_ii_u3	2015.0	1728420.0	32104.6	.
el_novillo	2015.0	1910425.0	24967.8	.
naco_nogales	2015.0	910280.0	16024.8	.
necaxa	2015.0	1910425.0	24967.8	.
puerto_libertad_u1	2015.0	1728420.0	32104.6	.
puerto_libertad_u2	2015.0	1728420.0	32104.6	.
puerto_libertad_u3	2015.0	1728420.0	32104.6	.
puerto_libertad_u4	2015.0	1728420.0	32104.6	.
comedero	2015.0	1910425.0	24967.8	.
topolobampo_ii_u1	2015.0	1728420.0	32104.6	.
topolobampo_ii_u2	2015.0	1728420.0	32104.6	.
yecora_u1	2015.0	3167700.0	53203.8	.
yecora_u2	2015.0	3167700.0	53203.8	.
yecora_u3	2015.0	3167700.0	53203.8	.
yecora_u4	2015.0	3167700.0	53203.8	.
altamira_ii	2015.0	910280.0	16024.8	.
altamira_iii_y_iv	2015.0	910280.0	16024.8	.
altamira_v	2015.0	910280.0	16024.8	.
altamira_u3	2015.0	1728420.0	32104.6	.
altamira_u4	2015.0	1728420.0	32104.6	.
carbon_ii_u1	2015.0	1899339.0	36463.6	.
carbon_ii_u2	2015.0	1899339.0	36463.6	.
carbon_ii_u3	2015.0	1899339.0	36463.6	.
carbon_ii_u4	2015.0	1899339.0	36463.6	.
bacurato	2015.0	1910425.0	24967.8	.
humaya	2015.0	1910425.0	24967.8	.
cupatitzio	2015.0	1910425.0	24967.8	.
fundidora	2015.0	622320.0	7634.45	.
huinala_ii	2015.0	910280.0	16024.8	.
huinala	2015.0	910280.0	16024.8	.
