PROJECT	build_year	gen_predetermined_cap
cerro_prieto_i_u5	2015.0	30.0
cerro_prieto_ii_central	2015.0	220.0
cerro_prieto_iii_central	2015.0	220.0
cerro_prieto_iv_central	2015.0	100.0
cerro_prieto_fotovoltaica	2015.0	5.0
cipres_tg	2015.0	27.43
mexicali	2015.0	489.0
mexicali_tg_1	2015.0	26.0
mexicali_tg_2	2015.0	18.0
mexicali_tg_3	2015.0	18.0
presidente_juarez_rosarito	2015.0	773.0
presidente_juarez_rosarito5_tc	2015.0	160.0
presidente_juarez_rosarito6_tc	2015.0	160.0
tijuana_1_tg	2015.0	30.0
tijuana_2_tg	2015.0	30.0
tijuana_3_tg_150mw	2015.0	150.0
tijuana_tg_central	2015.0	135.0
baja_california_sur_i	2015.0	162.7
ciudad_constitucion	2015.0	33.22
guerrero_negro	2015.0	12.5
guerrero_negro_ii	2015.0	10.8
la_paz_tg1	2015.0	18.0
la_paz_tg2	2015.0	25.0
los_cabos_cfe_25000	2015.0	75.0
los_cabos_cfe_30000	2015.0	104.0
los_cabos_1_tg	2015.0	30.0
los_cabos_2_tg	2015.0	27.43
los_cabos_3_tg	2015.0	27.23
punta_prieta_ii_u1	2015.0	37.5
punta_prieta_ii_u2	2015.0	37.5
punta_prieta_ii_u3	2015.0	37.5
san_carlos_u1	2015.0	31.5
san_carlos_u2	2015.0	31.5
san_carlos_u3	2015.0	41.13
santa_rosalia_u1_u2	2015.0	2.6
santa_rosalia_u3_ci	2015.0	1.2
santa_rosalia_u4_ci	2015.0	1.2
santa_rosalia_u5_ci	2015.0	2.8
tres_virgcos_central	2015.0	10.0
u_movil	2015.0	7.5
chicoasen	2015.0	2400.0
aragon	2015.0	32.0
atenco_lyfc	2015.0	32.0
coapa	2015.0	32.0
coyotepec	2015.0	64.0
cuautitlan_lyfc	2015.0	32.0
ecatepec_lyfc	2015.0	32.0
infiernillo	2015.0	1200.0
iztapalapa_lyfc	2015.0	32.0
malpaso	2015.0	1080.0
magdalena	2015.0	32.0
aguamilpa_solidaridad	2015.0	960.0
nonoalco_lyfc_u1	2015.0	32.0
nonoalco_lyfc_u2	2015.0	32.0
nonoalco_lyfc_u3	2015.0	42.0
angostura	2015.0	900.0
remedios_lyfc	2015.0	32.0
santa_cruz	2015.0	32.0
el_cajon	2015.0	750.0
tula	2015.0	489.0
tula_tc_u1	2015.0	330.0
tula_tc_u2	2015.0	330.0
tula_tc_u3	2015.0	322.8
tula_tc_u4	2015.0	322.8
tula_tc_u5	2015.0	300.0
valle_de_mexico	2015.0	549.3
valle_de_mexico_tc_u1	2015.0	150.0
valle_de_mexico_tc_u2	2015.0	150.0
valle_de_mexico_tc_u3	2015.0	150.0
vallejo_lyfc	2015.0	32.0
victoria_lyfc	2015.0	32.0
villa_de_las_flores_lyfc	2015.0	32.0
la_yesca	2015.0	750.0
guerrero_negro_ii_tgmovil	2015.0	12.5
guerrero_negro_eolica	2015.0	0.6
sta_rosalia	2015.0	1.0
u_movil_cfe-ume	2015.0	57.0
u_movil_de_emergencia_ume-18	2015.0	1.6
u_movil_de_emergencia_ume-19	2015.0	1.6
u_movil_de_emergencia_ume-20	2015.0	1.6
vizcaino	2015.0	14.0
caracol	2015.0	600.0
chavez_u1	2015.0	14.0
chavez_u2	2015.0	14.0
chihuahua_ii	2015.0	619.4
huites	2015.0	422.0
francisco_villa_u4	2015.0	150.0
francisco_villa_u5	2015.0	150.0
gomez_palacio	2015.0	239.8
industrial_juarez	2015.0	18.0
la_laguna_ii	2015.0	498.0
la_laguna_u1_tg	2015.0	14.0
la_laguna_u2_tg	2015.0	14.0
la_laguna_u3_tg	2015.0	14.0
la_laguna_u4_tg	2015.0	14.0
lerdo_u1	2015.0	160.0
lerdo_u2	2015.0	160.0
norte_ii	2015.0	433.0
norte	2015.0	450.0
parque_u2	2015.0	18.0
parque_u3	2015.0	13.0
parque_u4	2015.0	28.0
samalayuca_ii	2015.0	521.76
samalayuca_u1	2015.0	158.0
samalayuca_u2	2015.0	158.0
transalta_chihuahua_iii	2015.0	259.0
penitas	2015.0	420.0
temascal	2015.0	354.0
culiacan	2015.0	30.0
villita	2015.0	320.0
zimapan	2015.0	292.0
fuerza_y_energia_de_hermosillo	2015.0	250.0
guaymas_ii_u1	2015.0	84.0
guaymas_ii_u2	2015.0	84.0
guaymas_ii_u3	2015.0	158.0
guaymas_ii_u4	2015.0	158.0
hermosillo	2015.0	227.022
agua_prieta	2015.0	240.0
mazatepec	2015.0	220.0
industrial_caborca_u1	2015.0	12.0
industrial_caborca_u2	2015.0	30.0
mazatlan_ii_u1	2015.0	158.0
mazatlan_ii_u2	2015.0	158.0
mazatlan_ii_u3	2015.0	300.0
el_novillo	2015.0	135.0
naco_nogales	2015.0	258.0
necaxa	2015.0	109.0
puerto_libertad_u1	2015.0	158.0
puerto_libertad_u2	2015.0	158.0
puerto_libertad_u3	2015.0	158.0
puerto_libertad_u4	2015.0	158.0
comedero	2015.0	100.0
topolobampo_ii_u1	2015.0	160.0
topolobampo_ii_u2	2015.0	160.0
yecora_u1	2015.0	0.25
yecora_u2	2015.0	0.25
yecora_u3	2015.0	0.6
yecora_u4	2015.0	0.7
altamira_ii	2015.0	495.0
altamira_iii_y_iv	2015.0	1036.0
altamira_v	2015.0	1121.0
altamira_u3	2015.0	250.0
altamira_u4	2015.0	250.0
carbon_ii_u1	2015.0	350.0
carbon_ii_u2	2015.0	350.0
carbon_ii_u3	2015.0	350.0
carbon_ii_u4	2015.0	350.0
bacurato	2015.0	92.0
humaya	2015.0	90.0
cupatitzio	2015.0	80.0
fundidora	2015.0	12.0
huinala_ii	2015.0	471.18
huinala	2015.0	377.66
huinala_tg	2015.0	150.0
lerma	2015.0	74.0
leona_u1	2015.0	12.0
leona_u2	2015.0	12.0
santa_rosa	2015.0	70.0
monclova_u1	2015.0	18.0
monclova_u2	2015.0	30.0
monterrey_iii	2015.0	449.0
rio_bravo	2015.0	211.123
rio_bravo_tc	2015.0	300.0
rio_bravo_ii	2015.0	495.0
rio_bravo_iii	2015.0	495.0
rio_bravo_iv	2015.0	500.0
rio_escondido	2015.0	1200.0
saltillo	2015.0	247.5
tamazunchale	2015.0	1135.0
tecnologico	2015.0	26.0
universidad_u1	2015.0	12.0
universidad_u2	2015.0	12.0
el_sauz_ii	2015.0	495.0
la_amistad	2015.0	66.0
cobano	2015.0	60.0
el_fuerte	2015.0	59.4
colimilla	2015.0	51.2
tepexic	2015.0	39.0
cogcoracion_salamanca	2015.0	393.0
patla	2015.0	37.0
tuxpango	2015.0	36.0
