GENERATIONS_PROJECT	gen_tech	gen_load_zone	gen_connect_cost_per_mw	gen_full_load_heat_rate	proj_variable_o_m	gen_capacity_limit_mw	gen_energy_source	gen_variable_om	gen_min_build_capacity	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_max_age	gen_unit_size	proj_ccs_capture_efficiency	proj_ccs_energy_load	gen_storage_efficiency	proj_store_to_release_ratio	gen_is_variable	gen_is_baseload	gen_is_cogen
acciona-biofields_at_solar_1-5	solar	03-obregon	99048.565	.	0	.	solar	0	0	0	0	25	.	.	.	.	.	1	0	0
agnico_eagle_mexico	internal_combustion_diesel	09-chihuahua	99048.565	11.14021877	6.63	.	diesel	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
agribrands_purina_mexico	internal_combustion_natural_gas	26-salamanca	99048.565	9.523090232	6.63	.	natural_gas	6.63	0	0.1123	0.1123	30	.	.	.	.	.	0	1	0
agroenergia	thermal_natural_gas	30-queretaro	99048.565	8.624685497	2.688	.	natural_gas	2.688	0	0.1144	0.1144	30	.	.	.	.	.	0	1	0
agua_prieta	hydroelectric	23-guadalajara	99048.565	.	0	.	water	0	0	0.03	0.03	50	.	.	.	.	.	0	1	0
aguamilpa_solidaridad	hydroelectric	22-tepic	99048.565	.	0	.	water	0	0	0.03	0.03	50	.	.	.	.	.	0	1	0
aguascalientes_potencia_1	solar	24-aguascalientes	99048.565	.	0	.	solar	0	0	0	0	25	.	.	.	.	.	1	0	0
alameda	hydroelectric	31-central	99048.565	.	0	.	water	0	0	0.03	0.03	50	.	.	.	.	.	0	1	0
alimentos_kowi	internal_combustion_diesel	03-obregon	99048.565	11.94878303	6.63	.	diesel	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
almidones_mexicanos	gas_turbine_natural_gas	23-guadalajara	99048.565	16.35096625	3.432	.	natural_gas	3.432	0	0.0922	0.0922	30	.	.	.	.	.	0	1	0
altamira_ii	combined_cycle_natural_gas	19-huasteca	99048.565	6.648195071	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
altamira_iii_y_iv	combined_cycle_natural_gas	19-huasteca	99048.565	6.558354598	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
altamira_u3	thermal_fuel_oil	19-huasteca	99048.565	9.972292603	2.688	.	fuel_oil	2.688	0	0.1144	0.1144	30	.	.	.	.	.	0	1	0
altamira_u4	thermal_fuel_oil	19-huasteca	99048.565	9.972292603	2.688	.	fuel_oil	2.688	0	0.1144	0.1144	30	.	.	.	.	.	0	1	0
altamira_v	combined_cycle_natural_gas	19-huasteca	99048.565	6.648195071	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
alten_6	solar	24-aguascalientes	99048.565	.	0	.	solar	0	0	0	0	25	.	.	.	.	.	1	0	0
alten_aguascalientes_1-5	solar	24-aguascalientes	99048.565	.	0	.	solar	0	0	0	0	25	.	.	.	.	.	1	0	0
