LOAD_ZONE	existing_local_td	local_td_annual_cost_per_mw
01-hermosillo	3260.27427765	6911.96543451
02-cananea	826.900841059	8827.67400884
03-obregon	1602.59727765	10413.3572816
04-los_mochis	1390.08685176	10990.6791974
05-culiacan	1568.0538	8309.28855813
06-mazatlan	753.343112353	8677.76318415
07-juarez	1812.03611882	6115.3343602
08-moctezuma	1090.27333671	10859.8945574
09-chihuahua	2981.23812706	11499.9002127
10-durango	740.136871882	17302.0470437
11-laguna	1793.45037059	7846.75958909
12-rio_escondido	792.494000235	22751.6586708
13-nuevo_laredo	597.199997882	11923.714299
14-reynosa	1538.617	5107.36903025
15-matamoros	718.340424588	7659.27955241
16-monterrey	10271.0999035	2690.27320194
17-saltillo	2790.99539765	3613.34510046
18-valles	703.647414706	7471.84297947
19-huasteca	1291.48318471	7758.10028449
20-tamazunchale	427.962496	29988.0201119
21-guemez	549.082817765	10530.2969981
22-tepic	975.016114588	14487.1355161
23-guadalajara	4058.59101647	8796.96448343
24-aguascalientes	3243.43799176	11456.4719528
25-san_luis_potosi	1951.99181882	7374.12755221
26-salamanca	2175.1653	7188.8279476
27-manzanillo	802.448704941	11202.9592443
28-carapan	1375.10137529	6476.85345652
29-lazaro_cardenas	1191.28325176	6740.60735622
30-queretaro	4192.24419882	8811.95932667
31-central	16853.0039059	6301.69835021
32-poza_rica	1295.74669647	21385.2916799
33-veracruz	1415.04625176	11078.4904605
34-puebla	4370.88727059	2772.22465404
35-acapulco	1249.60041529	6989.73194695
36-temascal	1651.23659765	10183.7956498
37-coatzacoalcos	1331.16748588	6932.33381917
38-tabasco	2237.31036706	11792.1337725
39-grijalva	1310.68107294	14749.7818508
40-ixtepec	514.586786706	9702.56962018
41-lerma	741.081867529	7686.0875291
42-merida	1444.39412235	9230.2462922
43-cancun	1776.42181059	6287.07067073
44-chetumal	217.669669647	30345.1493125
45-cozumel	102.789957976	3022.46139567
46-tijuana	1503.55081765	13161.8917485
47-ensenada	507.969417647	19.5139832994
48-mexicali	2694.59673765	2441.93416878
49-san_luis_rio_colorado	582.005416941	4202.02115968
50-villa_constitucion	82.4367566353	140078.331647
51-la_paz	463.110819647	10696.0223908
52-los_cabos	604.482746706	2714.07668281
53-mulege	84.0242518588	15000.829103
