timepoint_id	timestamp	timeseries
1	2016012808	2016_01P
2	2016012815	2016_01P
3	2016012822	2016_01P
4	2016012905	2016_01P
5	2016022508	2016_02P
6	2016022515	2016_02P
7	2016022522	2016_02P
8	2016022605	2016_02P
9	2016033109	2016_03P
10	2016033116	2016_03P
11	2016033123	2016_03P
12	2016040106	2016_04P
13	2016042905	2016_04P
14	2016042912	2016_04P
15	2016042919	2016_04P
16	2016043002	2016_04P
17	2016052710	2016_05P
18	2016052717	2016_05P
19	2016052801	2016_05P
20	2016052807	2016_05P
21	2016061304	2016_06P
22	2016061311	2016_06P
23	2016061318	2016_06P
24	2016061401	2016_06P
25	2016073005	2016_07P
26	2016073012	2016_07P
27	2016073019	2016_07P
28	2016073102	2016_07P
29	2016082805	2016_08P
30	2016082812	2016_08P
31	2016082819	2016_08P
32	2016082902	2016_08P
33	2016090105	2016_09P
34	2016090112	2016_09P
35	2016090119	2016_09P
36	2016090202	2016_09P
37	2016100209	2016_10P
38	2016100216	2016_10P
39	2016100223	2016_10P
40	2016100306	2016_10P
41	2016110608	2016_11P
42	2016110615	2016_11P
43	2016110622	2016_11P
44	2016110705	2016_11P
45	2016120908	2016_12P
46	2016120915	2016_12P
47	2016120922	2016_12P
48	2016121005	2016_12P
49	2017012808	2017_01P
50	2017012815	2017_01P
51	2017012822	2017_01P
52	2017012905	2017_01P
53	2017022508	2017_02P
54	2017022515	2017_02P
55	2017022522	2017_02P
56	2017022605	2017_02P
57	2017033109	2017_03P
58	2017033116	2017_03P
59	2017033123	2017_03P
60	2017040106	2017_04P
61	2017042905	2017_04P
62	2017042912	2017_04P
63	2017042919	2017_04P
64	2017043002	2017_04P
65	2017052706	2017_05P
66	2017052713	2017_05P
67	2017052720	2017_05P
68	2017052803	2017_05P
69	2017061304	2017_06P
70	2017061311	2017_06P
71	2017061318	2017_06P
72	2017061401	2017_06P
73	2017073005	2017_07P
74	2017073012	2017_07P
75	2017073019	2017_07P
76	2017073102	2017_07P
77	2017082805	2017_08P
78	2017082812	2017_08P
79	2017082819	2017_08P
80	2017082902	2017_08P
81	2017090105	2017_09P
82	2017090112	2017_09P
83	2017090119	2017_09P
84	2017090202	2017_09P
85	2017100209	2017_10P
86	2017100216	2017_10P
87	2017100223	2017_10P
88	2017100306	2017_10P
89	2017110608	2017_11P
90	2017110615	2017_11P
91	2017110622	2017_11P
92	2017110705	2017_11P
93	2017120908	2017_12P
94	2017120915	2017_12P
95	2017120922	2017_12P
96	2017121005	2017_12P
97	2018012808	2018_01P
98	2018012815	2018_01P
99	2018012822	2018_01P
100	2018012905	2018_01P
101	2018022508	2018_02P
102	2018022515	2018_02P
103	2018022522	2018_02P
104	2018022605	2018_02P
105	2018033109	2018_03P
106	2018033116	2018_03P
107	2018033123	2018_03P
108	2018040106	2018_04P
109	2018042905	2018_04P
110	2018042912	2018_04P
111	2018042919	2018_04P
112	2018043002	2018_04P
113	2018052706	2018_05P
114	2018052713	2018_05P
115	2018052720	2018_05P
116	2018052803	2018_05P
117	2018061304	2018_06P
118	2018061311	2018_06P
119	2018061318	2018_06P
120	2018061401	2018_06P
121	2018073005	2018_07P
122	2018073012	2018_07P
123	2018073019	2018_07P
124	2018073102	2018_07P
125	2018082805	2018_08P
126	2018082812	2018_08P
127	2018082819	2018_08P
128	2018082902	2018_08P
129	2018090105	2018_09P
130	2018090112	2018_09P
131	2018090119	2018_09P
132	2018090202	2018_09P
133	2018100209	2018_10P
134	2018100216	2018_10P
135	2018100223	2018_10P
136	2018100306	2018_10P
137	2018110608	2018_11P
138	2018110615	2018_11P
139	2018110622	2018_11P
140	2018110705	2018_11P
141	2018120908	2018_12P
142	2018120915	2018_12P
143	2018120922	2018_12P
144	2018121005	2018_12P
145	2019012808	2019_01P
146	2019012815	2019_01P
147	2019012822	2019_01P
148	2019012905	2019_01P
149	2019022508	2019_02P
150	2019022515	2019_02P
151	2019022522	2019_02P
152	2019022605	2019_02P
153	2019033109	2019_03P
154	2019033116	2019_03P
155	2019033123	2019_03P
156	2019040106	2019_04P
157	2019042905	2019_04P
158	2019042912	2019_04P
159	2019042919	2019_04P
160	2019043002	2019_04P
161	2019052706	2019_05P
162	2019052713	2019_05P
163	2019052720	2019_05P
164	2019052803	2019_05P
165	2019061304	2019_06P
166	2019061311	2019_06P
167	2019061318	2019_06P
168	2019061401	2019_06P
169	2019073005	2019_07P
170	2019073012	2019_07P
171	2019073019	2019_07P
172	2019073102	2019_07P
173	2019082805	2019_08P
174	2019082812	2019_08P
175	2019082819	2019_08P
176	2019082902	2019_08P
177	2019090105	2019_09P
178	2019090112	2019_09P
179	2019090119	2019_09P
180	2019090202	2019_09P
181	2019100209	2019_10P
182	2019100216	2019_10P
183	2019100223	2019_10P
184	2019100306	2019_10P
185	2019110608	2019_11P
186	2019110615	2019_11P
187	2019110622	2019_11P
188	2019110705	2019_11P
189	2019120908	2019_12P
190	2019120915	2019_12P
191	2019120922	2019_12P
192	2019121005	2019_12P
193	2020012808	2020_01P
194	2020012815	2020_01P
195	2020012822	2020_01P
196	2020012905	2020_01P
197	2020022508	2020_02P
198	2020022515	2020_02P
199	2020022522	2020_02P
200	2020022605	2020_02P
201	2020033109	2020_03P
202	2020033116	2020_03P
203	2020033123	2020_03P
204	2020040106	2020_04P
205	2020042905	2020_04P
206	2020042912	2020_04P
207	2020042919	2020_04P
208	2020043002	2020_04P
209	2020052706	2020_05P
210	2020052713	2020_05P
211	2020052720	2020_05P
212	2020052803	2020_05P
213	2020061304	2020_06P
214	2020061311	2020_06P
215	2020061318	2020_06P
216	2020061401	2020_06P
217	2020073005	2020_07P
218	2020073012	2020_07P
219	2020073019	2020_07P
220	2020073102	2020_07P
221	2020082805	2020_08P
222	2020082812	2020_08P
223	2020082819	2020_08P
224	2020082902	2020_08P
225	2020090105	2020_09P
226	2020090112	2020_09P
227	2020090119	2020_09P
228	2020090202	2020_09P
229	2020100209	2020_10P
230	2020100216	2020_10P
231	2020100223	2020_10P
232	2020100306	2020_10P
233	2020110608	2020_11P
234	2020110615	2020_11P
235	2020110622	2020_11P
236	2020110705	2020_11P
237	2020120908	2020_12P
238	2020120915	2020_12P
239	2020120922	2020_12P
240	2020121005	2020_12P
241	2021012808	2021_01P
242	2021012815	2021_01P
243	2021012822	2021_01P
244	2021012905	2021_01P
245	2021022508	2021_02P
246	2021022515	2021_02P
247	2021022522	2021_02P
248	2021022605	2021_02P
249	2021033109	2021_03P
250	2021033116	2021_03P
251	2021033123	2021_03P
252	2021040106	2021_04P
253	2021042905	2021_04P
254	2021042912	2021_04P
255	2021042919	2021_04P
256	2021043002	2021_04P
257	2021052706	2021_05P
258	2021052713	2021_05P
259	2021052720	2021_05P
260	2021052803	2021_05P
261	2021061304	2021_06P
262	2021061311	2021_06P
263	2021061318	2021_06P
264	2021061401	2021_06P
265	2021073005	2021_07P
266	2021073012	2021_07P
267	2021073019	2021_07P
268	2021073102	2021_07P
269	2021082805	2021_08P
270	2021082812	2021_08P
271	2021082819	2021_08P
272	2021082902	2021_08P
273	2021090105	2021_09P
274	2021090112	2021_09P
275	2021090119	2021_09P
276	2021090202	2021_09P
277	2021100209	2021_10P
278	2021100216	2021_10P
279	2021100223	2021_10P
280	2021100306	2021_10P
281	2021110608	2021_11P
282	2021110615	2021_11P
283	2021110622	2021_11P
284	2021110705	2021_11P
285	2021120908	2021_12P
286	2021120915	2021_12P
287	2021120922	2021_12P
288	2021121005	2021_12P
289	2022012808	2022_01P
290	2022012815	2022_01P
291	2022012822	2022_01P
292	2022012905	2022_01P
293	2022022508	2022_02P
294	2022022515	2022_02P
295	2022022522	2022_02P
296	2022022605	2022_02P
297	2022033109	2022_03P
298	2022033116	2022_03P
299	2022033123	2022_03P
300	2022040106	2022_04P
301	2022042905	2022_04P
302	2022042912	2022_04P
303	2022042919	2022_04P
304	2022043002	2022_04P
305	2022052706	2022_05P
306	2022052713	2022_05P
307	2022052720	2022_05P
308	2022052803	2022_05P
309	2022061304	2022_06P
310	2022061311	2022_06P
311	2022061318	2022_06P
312	2022061401	2022_06P
313	2022073005	2022_07P
314	2022073012	2022_07P
315	2022073019	2022_07P
316	2022073102	2022_07P
317	2022082805	2022_08P
318	2022082812	2022_08P
319	2022082819	2022_08P
320	2022082902	2022_08P
321	2022090105	2022_09P
322	2022090112	2022_09P
323	2022090119	2022_09P
324	2022090202	2022_09P
325	2022100209	2022_10P
326	2022100216	2022_10P
327	2022100223	2022_10P
328	2022100306	2022_10P
329	2022110608	2022_11P
330	2022110615	2022_11P
331	2022110622	2022_11P
332	2022110705	2022_11P
333	2022120908	2022_12P
334	2022120915	2022_12P
335	2022120922	2022_12P
336	2022121005	2022_12P
337	2023012808	2023_01P
338	2023012815	2023_01P
339	2023012822	2023_01P
340	2023012905	2023_01P
341	2023022508	2023_02P
342	2023022515	2023_02P
343	2023022522	2023_02P
344	2023022605	2023_02P
345	2023033109	2023_03P
346	2023033116	2023_03P
347	2023033123	2023_03P
348	2023040106	2023_04P
349	2023042905	2023_04P
350	2023042912	2023_04P
351	2023042919	2023_04P
352	2023043002	2023_04P
353	2023052706	2023_05P
354	2023052713	2023_05P
355	2023052720	2023_05P
356	2023052803	2023_05P
357	2023061304	2023_06P
358	2023061311	2023_06P
359	2023061318	2023_06P
360	2023061401	2023_06P
361	2023073005	2023_07P
362	2023073012	2023_07P
363	2023073019	2023_07P
364	2023073102	2023_07P
365	2023082805	2023_08P
366	2023082812	2023_08P
367	2023082819	2023_08P
368	2023082902	2023_08P
369	2023090105	2023_09P
370	2023090112	2023_09P
371	2023090119	2023_09P
372	2023090202	2023_09P
373	2023100209	2023_10P
374	2023100216	2023_10P
375	2023100223	2023_10P
376	2023100306	2023_10P
377	2023110608	2023_11P
378	2023110615	2023_11P
379	2023110622	2023_11P
380	2023110705	2023_11P
381	2023120908	2023_12P
382	2023120915	2023_12P
383	2023120922	2023_12P
384	2023121005	2023_12P
385	2024012808	2024_01P
386	2024012815	2024_01P
387	2024012822	2024_01P
388	2024012905	2024_01P
389	2024022508	2024_02P
390	2024022515	2024_02P
391	2024022522	2024_02P
392	2024022605	2024_02P
393	2024033109	2024_03P
394	2024033116	2024_03P
395	2024033123	2024_03P
396	2024040106	2024_04P
397	2024042905	2024_04P
398	2024042912	2024_04P
399	2024042919	2024_04P
400	2024043002	2024_04P
401	2024052706	2024_05P
402	2024052713	2024_05P
403	2024052720	2024_05P
404	2024052803	2024_05P
405	2024061304	2024_06P
406	2024061311	2024_06P
407	2024061318	2024_06P
408	2024061401	2024_06P
409	2024073005	2024_07P
410	2024073012	2024_07P
411	2024073019	2024_07P
412	2024073102	2024_07P
413	2024082805	2024_08P
414	2024082812	2024_08P
415	2024082819	2024_08P
416	2024082902	2024_08P
417	2024090105	2024_09P
418	2024090112	2024_09P
419	2024090119	2024_09P
420	2024090202	2024_09P
421	2024100209	2024_10P
422	2024100216	2024_10P
423	2024100223	2024_10P
424	2024100306	2024_10P
425	2024110608	2024_11P
426	2024110615	2024_11P
427	2024110622	2024_11P
428	2024110705	2024_11P
429	2024120908	2024_12P
430	2024120915	2024_12P
431	2024120922	2024_12P
432	2024121005	2024_12P
433	2025012808	2025_01P
434	2025012815	2025_01P
435	2025012822	2025_01P
436	2025012905	2025_01P
437	2025022508	2025_02P
438	2025022515	2025_02P
439	2025022522	2025_02P
440	2025022605	2025_02P
441	2025033109	2025_03P
442	2025033116	2025_03P
443	2025033123	2025_03P
444	2025040106	2025_04P
445	2025042905	2025_04P
446	2025042912	2025_04P
447	2025042919	2025_04P
448	2025043002	2025_04P
449	2025052706	2025_05P
450	2025052713	2025_05P
451	2025052720	2025_05P
452	2025052803	2025_05P
453	2025061304	2025_06P
454	2025061311	2025_06P
455	2025061318	2025_06P
456	2025061401	2025_06P
457	2025073005	2025_07P
458	2025073012	2025_07P
459	2025073019	2025_07P
460	2025073102	2025_07P
461	2025082805	2025_08P
462	2025082812	2025_08P
463	2025082819	2025_08P
464	2025082902	2025_08P
465	2025090105	2025_09P
466	2025090112	2025_09P
467	2025090119	2025_09P
468	2025090202	2025_09P
469	2025100209	2025_10P
470	2025100216	2025_10P
471	2025100223	2025_10P
472	2025100306	2025_10P
473	2025110608	2025_11P
474	2025110615	2025_11P
475	2025110622	2025_11P
476	2025110705	2025_11P
477	2025120908	2025_12P
478	2025120915	2025_12P
479	2025120922	2025_12P
480	2025121005	2025_12P
