timepoint_id	TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
1	2016_01P	2016	4	4	46.5
2	2016_02P	2016	4	4	43.5
3	2016_03P	2016	4	3	62.0
4	2016_04P	2016	4	5	36.0
5	2016_05P	2016	4	4	46.5
6	2016_06P	2016	4	4	45.0
7	2016_07P	2016	4	4	46.5
8	2016_08P	2016	4	4	46.5
9	2016_09P	2016	4	4	45.0
10	2016_10P	2016	4	4	46.5
11	2016_11P	2016	4	4	45.0
12	2016_12P	2016	4	4	46.5
13	2017_01P	2016	4	4	46.5
14	2017_02P	2016	4	4	42.0
15	2017_03P	2016	4	3	62.0
16	2017_04P	2016	4	5	36.0
17	2017_05P	2016	4	4	46.5
18	2017_06P	2016	4	4	45.0
19	2017_07P	2016	4	4	46.5
20	2017_08P	2016	4	4	46.5
21	2017_09P	2016	4	4	45.0
22	2017_10P	2016	4	4	46.5
23	2017_11P	2016	4	4	45.0
24	2017_12P	2016	4	4	46.5
25	2018_01P	2016	4	4	46.5
26	2018_02P	2016	4	4	42.0
27	2018_03P	2016	4	3	62.0
28	2018_04P	2016	4	5	36.0
29	2018_05P	2016	4	4	46.5
30	2018_06P	2016	4	4	45.0
31	2018_07P	2016	4	4	46.5
32	2018_08P	2016	4	4	46.5
33	2018_09P	2016	4	4	45.0
34	2018_10P	2016	4	4	46.5
35	2018_11P	2016	4	4	45.0
36	2018_12P	2016	4	4	46.5
37	2019_01P	2016	4	4	46.5
38	2019_02P	2016	4	4	42.0
39	2019_03P	2016	4	3	62.0
40	2019_04P	2016	4	5	36.0
41	2019_05P	2016	4	4	46.5
42	2019_06P	2016	4	4	45.0
43	2019_07P	2016	4	4	46.5
44	2019_08P	2016	4	4	46.5
45	2019_09P	2016	4	4	45.0
46	2019_10P	2016	4	4	46.5
47	2019_11P	2016	4	4	45.0
48	2019_12P	2016	4	4	46.5
49	2020_01P	2016	4	4	46.5
50	2020_02P	2016	4	4	43.5
51	2020_03P	2016	4	3	62.0
52	2020_04P	2016	4	5	36.0
53	2020_05P	2016	4	4	46.5
54	2020_06P	2016	4	4	45.0
55	2020_07P	2016	4	4	46.5
56	2020_08P	2016	4	4	46.5
57	2020_09P	2016	4	4	45.0
58	2020_10P	2016	4	4	46.5
59	2020_11P	2016	4	4	45.0
60	2020_12P	2016	4	4	46.5
61	2021_01P	2016	4	4	46.5
62	2021_02P	2016	4	4	42.0
63	2021_03P	2016	4	3	62.0
64	2021_04P	2016	4	5	36.0
65	2021_05P	2016	4	4	46.5
66	2021_06P	2016	4	4	45.0
67	2021_07P	2016	4	4	46.5
68	2021_08P	2016	4	4	46.5
69	2021_09P	2016	4	4	45.0
70	2021_10P	2016	4	4	46.5
71	2021_11P	2016	4	4	45.0
72	2021_12P	2016	4	4	46.5
73	2022_01P	2016	4	4	46.5
74	2022_02P	2016	4	4	42.0
75	2022_03P	2016	4	3	62.0
76	2022_04P	2016	4	5	36.0
77	2022_05P	2016	4	4	46.5
78	2022_06P	2016	4	4	45.0
79	2022_07P	2016	4	4	46.5
80	2022_08P	2016	4	4	46.5
81	2022_09P	2016	4	4	45.0
82	2022_10P	2016	4	4	46.5
83	2022_11P	2016	4	4	45.0
84	2022_12P	2016	4	4	46.5
85	2023_01P	2016	4	4	46.5
86	2023_02P	2016	4	4	42.0
87	2023_03P	2016	4	3	62.0
88	2023_04P	2016	4	5	36.0
89	2023_05P	2016	4	4	46.5
90	2023_06P	2016	4	4	45.0
91	2023_07P	2016	4	4	46.5
92	2023_08P	2016	4	4	46.5
93	2023_09P	2016	4	4	45.0
94	2023_10P	2016	4	4	46.5
95	2023_11P	2016	4	4	45.0
96	2023_12P	2016	4	4	46.5
97	2024_01P	2016	4	4	46.5
98	2024_02P	2016	4	4	43.5
99	2024_03P	2016	4	3	62.0
100	2024_04P	2016	4	5	36.0
101	2024_05P	2016	4	4	46.5
102	2024_06P	2016	4	4	45.0
103	2024_07P	2016	4	4	46.5
104	2024_08P	2016	4	4	46.5
105	2024_09P	2016	4	4	45.0
106	2024_10P	2016	4	4	46.5
107	2024_11P	2016	4	4	45.0
108	2024_12P	2016	4	4	46.5
109	2025_01P	2016	4	4	46.5
110	2025_02P	2016	4	4	42.0
111	2025_03P	2016	4	3	62.0
112	2025_04P	2016	4	5	36.0
113	2025_05P	2016	4	4	46.5
114	2025_06P	2016	4	4	45.0
115	2025_07P	2016	4	4	46.5
116	2025_08P	2016	4	4	46.5
117	2025_09P	2016	4	4	45.0
118	2025_10P	2016	4	4	46.5
119	2025_11P	2016	4	4	45.0
120	2025_12P	2016	4	4	46.5
