generation_technology	investment_period	g_overnight_cost	g_fixed_o_m				
carboelectric	2020	1899339	36463.6				
carboelectric	2025	1899339	36463.6				
carboelectric	2030	1899339	36463.6				
combined_cycle	2020	910280	16024.8				
combined_cycle	2025	910280	16024.8				
combined_cycle	2030	910280	16024.8				
internal_combustion_fuel_oil	2020	3167700	53203.8				
internal_combustion_fuel_oil	2025	3167700	53203.8				
internal_combustion_fuel_oil	2030	3167700	53203.8				
internal_combustion_diesel	2020	3150526	28000				
internal_combustion_diesel	2025	3150526	28000				
internal_combustion_diesel	2030	3150526	28000				
internal_combustion_natural_gas 	2020	3182481	44702				
internal_combustion_natural_gas 	2025	3182481	44702				
internal_combustion_natural_gas 	2030	3182481	44702				
wind	2020	2016000	24963				
wind	2025	2016000	24963				
wind	2030	2016000	24963				
geothermal	2020	2038100	87118				
geothermal	2025	2038100	87118				
geothermal	2030	2038100	87118				
hydroelectric 	2020	1910425	24967.8				
hydroelectric 	2025	1910425	24967.8				
hydroelectric 	2030	1910425	24967.8				
nuclear	2020	6405301	98040.5				
nuclear	2025	6405301	98040.5				
nuclear	2030	6405301	98040.5				
solar 	2020	2353000	19000				
solar 	2025	2353000	19000				
solar 	2030	2353000	19000				
thermal_natural_gas	2020	1860700	37694				
thermal_natural_gas	2025	1860700	37694				
thermal_natural_gas	2030	1860700	37694				
thermal_fuel_oil	2020	1728420	32104.6				
thermal_fuel_oil	2025	1728420	32104.6				
thermal_fuel_oil	2030	1728420	32104.6				
thermal_diesel	2020	1728420	44300				
thermal_diesel	2025	1728420	44300				
thermal_diesel	2030	1728420	44300				
thermosolar 	2020	1488300	53000				
thermosolar 	2025	1488300	53000				
thermosolar 	2030	1488300	53000				
gas_turbine_natural_gas	2020	622320	7634.45				
gas_turbine_natural_gas	2025	622320	7634.45				
gas_turbine_natural_gas	2030	622320	7634.45				
gas_turbine_diesel	2020	1085000	20058				
gas_turbine_diesel	2025	1085000	20058				
gas_turbine_diesel	2030	1085000	20058				
bio_fuel_oil	2020	2341500	44254				
bio_fuel_oil	2025	2341500	44254				
bio_fuel_oil	2030	2341500	44254				
bio_natural_gas	2020	2359223	35558.7				
bio_natural_gas	2025	2359223	35558.7				
bio_natural_gas	2030	2359223	35558.7				
bio_diesel	2020	2341500	44300				
bio_diesel	2025	2341500	44300				
bio_diesel	2030	2341500	44300				
cogen_fuel_oil	2020	2341500	44300				
cogen_fuel_oil	2025	2341500	44300				
cogen_fuel_oil	2030	2341500	44300				
cogen_natural_gas	2020	1009728.5	17427.4				
cogen_natural_gas	2025	1009728.5	17427.4				
cogen_natural_gas	2030	1009728.5	17427.4				
cogen_diesel	2020	1656887	25938.1				
cogen_diesel	2025	1656887	25938.1				
cogen_diesel	2030	1656887	25938.1				
fluidized_bed	2020	1899339	36463.6				
fluidized_bed	2025	1899339	36463.6				
fluidized_bed	2030	1899339	36463.6				
import_natural_gas	2020	1110500	21400				
import_natural_gas	2025	1110500	21400				
import_natural_gas	2030	1110500	21400				
regen_brakes	2020	1910425	24967.8				
regen_brakes	2025	1910425	24967.8				
regen_brakes	2030	1910425	24967.8				
