generation_technology	energy_source
carboelectric_coal	coal 
combined_cycle_natural_gas	natural_gas
internal_combustion_fuel_oil	fuel_oil 
internal_combustion_diesel	diesel
internal_combustion_natural_gas	natural_gas
wind	wind
geothermal	geosteam
hydroelectric	water
nuclear_uranium	uranium 
solar	solar
thermal_fuel_oil	fuel_oil 
thermal_natural_gas	natural_gas
thermal_diesel	diesel
thermosolar	solar
gas_turbine_diesel	diesel
gas_turbine_natural_gas	natural_gas
bioenergy_fuel_oil	fuel_oil 
bioenergy_natural_gas	natural_gas
bioenergy_diesel	diesel
cogen_fuel_oil	fuel_oil 
cogen_natural_gas	natural_gas
cogen_diesel	diesel
fluidized_bed_coal	coal 
import_natural_gas	natural_gas
regen_brakes	kinetic
