load_zone	period	peak_demand_mw
01-hermosillo	2016	1824.700175
01-hermosillo	2021	2248.23507
01-hermosillo	2026	2771.233136
02-cananea	2016	444.7721832
02-cananea	2021	579.6905083
02-cananea	2026	702.8657149
03-obregon	2016	891.9451299
03-obregon	2021	1085.66646
03-obregon	2026	1362.207686
04-los_mochis	2016	760.1789324
04-los_mochis	2021	955.7867552
04-los_mochis	2026	1181.573824
05-culiacan	2016	866.1191482
05-culiacan	2021	1061.376223
05-culiacan	2026	1332.84573
06-mazatlan	2016	432.5388661
06-mazatlan	2021	517.8457023
06-mazatlan	2026	640.3416455
07-juarez	2016	906.2431098
07-juarez	2021	1197.020072
07-juarez	2026	1540.230701
08-moctezuma	2016	575.4818911
08-moctezuma	2021	761.7018871
08-moctezuma	2026	926.7323362
09-chihuahua	2016	1744.841722
09-chihuahua	2021	2087.415472
09-chihuahua	2026	2534.052408
10-durango	2016	447.3895958
10-durango	2021	526.0361019
10-durango	2026	629.1163411
11-laguna	2016	1107.002127
11-laguna	2021	1279.727453
11-laguna	2026	1524.432815
12-rio_escondido	2016	418.8514122
12-rio_escondido	2021	535.4367294
12-rio_escondido	2026	673.6199002
13-nuevo_laredo	2016	332.0046905
13-nuevo_laredo	2021	416.6932016
13-nuevo_laredo	2026	507.6199982
14-reynosa	2016	761.3352748
14-reynosa	2021	1010.490268
14-reynosa	2026	1307.82445
15-matamoros	2016	401.9927916
15-matamoros	2021	501.1064533
15-matamoros	2026	610.5893609
16-monterrey	2016	5328.576302
16-monterrey	2021	6829.93758
16-monterrey	2026	8730.434918
17-saltillo	2016	1492.33959
17-saltillo	2021	1814.337125
17-saltillo	2026	2372.346088
18-valles	2016	355.904199
18-valles	2021	469.2699551
18-valles	2026	598.1003025
19-huasteca	2016	701.6824864
19-huasteca	2021	872.0248896
19-huasteca	2026	1097.760707
20-tamazunchale	2016	222.0240126
20-tamazunchale	2021	284.5807325
20-tamazunchale	2026	363.7681216
21-guemez	2016	260.8628078
21-guemez	2021	358.3328576
21-guemez	2026	466.7203951
22-tepic	2016	540.2692982
22-tepic	2021	667.2983131
22-tepic	2026	828.7636974
23-guadalajara	2016	2594.160101
23-guadalajara	2021	2928.217338
23-guadalajara	2026	3449.802364
24-aguascalientes	2016	1740.414918
24-aguascalientes	2021	2197.788825
24-aguascalientes	2026	2756.922293
25-san_luis_potosi	2016	1003.019645
25-san_luis_potosi	2021	1311.329155
25-san_luis_potosi	2026	1659.193046
26-salamanca	2016	1103.663177
26-salamanca	2021	1441.976736
26-salamanca	2026	1848.890505
27-manzanillo	2016	462.620274
27-manzanillo	2021	556.0558003
27-manzanillo	2026	682.0813992
28-carapan	2016	769.3919762
28-carapan	2021	940.7775557
28-carapan	2026	1168.836169
29-lazaro_cardenas	2016	737.1566338
29-lazaro_cardenas	2021	855.1865787
29-lazaro_cardenas	2026	1012.590764
30-queretaro	2016	2205.519433
30-queretaro	2021	2826.097411
30-queretaro	2026	3563.407569
31-central	2016	9616.205469
31-central	2021	11731.52926
31-central	2026	14325.05332
32-poza_rica	2016	724.91552
32-poza_rica	2021	892.42412
32-poza_rica	2026	1101.384692
33-veracruz	2016	758.8873728
33-veracruz	2021	973.9816363
33-veracruz	2026	1202.789314
34-puebla	2016	2401.073316
34-puebla	2021	2987.012272
34-puebla	2026	3715.25418
35-acapulco	2016	679.1843125
35-acapulco	2021	861.123659
35-acapulco	2026	1062.160353
36-temascal	2016	933.3317257
36-temascal	2021	1131.26196
36-temascal	2026	1403.551108
37-coatzacoalcos	2016	791.9661985
37-coatzacoalcos	2021	916.3689794
37-coatzacoalcos	2026	1131.492363
38-tabasco	2016	1159.832689
38-tabasco	2021	1496.023856
38-tabasco	2026	1901.713812
39-grijalva	2016	663.8467286
39-grijalva	2021	871.8498484
39-grijalva	2026	1114.078912
40-ixtepec	2016	267.9253541
40-ixtepec	2021	344.9892374
40-ixtepec	2026	437.3987687
41-lerma	2016	386.6967834
41-lerma	2021	499.7875747
41-lerma	2026	629.9195874
42-merida	2016	792.5936416
42-merida	2021	971.3946234
42-merida	2026	1227.735004
43-cancun	2016	895.732829
43-cancun	2021	1169.997565
43-cancun	2026	1509.958539
44-chetumal	2016	109.8551248
44-chetumal	2021	141.0014046
44-chetumal	2026	185.0192192
45-cozumel	2016	52.86985136
45-cozumel	2021	67.2570954
45-cozumel	2026	87.37146428
46-tijuana	2016	871.5115106
46-tijuana	2021	1057.650873
46-tijuana	2026	1278.018195
47-ensenada	2016	279.2322539
47-ensenada	2021	348.4767186
47-ensenada	2026	431.774005
48-mexicali	2016	1490.106386
48-mexicali	2021	1853.415728
48-mexicali	2026	2290.407227
49-san_luis_rio_colorado	2016	314.3272223
49-san_luis_rio_colorado	2021	394.8487235
49-san_luis_rio_colorado	2026	494.7046044
50-villa_constitucion	2016	50.08473237
50-villa_constitucion	2021	58.29230499
50-villa_constitucion	2026	70.07124314
51-la_paz	2016	230.0649841
51-la_paz	2021	300.9827139
51-la_paz	2026	393.6441967
52-los_cabos	2016	274.9736979
52-los_cabos	2021	378.4017787
52-los_cabos	2026	513.8103347
53-mulege	2016	47.76731706
53-mulege	2021	58.44357356
53-mulege	2026	71.42061408
