load_zone	period	peak_demand_mw
01-hermosillo	2016	1739.226524
01-hermosillo	2021	2051.322663
01-hermosillo	2026	2416.589145
02-cananea	2016	423.9379097
02-cananea	2021	528.9181246
02-cananea	2026	612.9176341
03-obregon	2016	850.1641251
03-obregon	2021	990.5780065
03-obregon	2026	1187.881403
04-los_mochis	2016	724.5701953
04-los_mochis	2021	872.0738582
04-los_mochis	2026	1030.363862
05-culiacan	2016	825.5478988
05-culiacan	2021	968.4152374
05-culiacan	2026	1162.276996
06-mazatlan	2016	412.2776327
06-mazatlan	2021	472.4900164
06-mazatlan	2026	558.3949793
07-juarez	2016	858.7629267
07-juarez	2021	1058.738947
07-juarez	2026	1270.080624
08-moctezuma	2016	545.3310571
08-moctezuma	2021	673.7092161
08-moctezuma	2026	764.1873282
09-chihuahua	2016	1653.425409
09-chihuahua	2021	1846.274855
09-chihuahua	2026	2089.590126
10-durango	2016	423.9498149
10-durango	2021	465.2678113
10-durango	2026	518.7719442
11-laguna	2016	1049.003713
11-laguna	2021	1131.891877
11-laguna	2026	1257.053622
12-rio_escondido	2016	390.0313232
12-rio_escondido	2021	462.137467
12-rio_escondido	2026	539.3697587
13-nuevo_laredo	2016	309.1603012
13-nuevo_laredo	2021	359.6494789
13-nuevo_laredo	2026	406.4530692
14-reynosa	2016	708.9497515
14-reynosa	2021	872.1579736
14-reynosa	2026	1047.179511
15-matamoros	2016	374.3327009
15-matamoros	2021	432.5068759
15-matamoros	2026	488.9009902
16-monterrey	2016	4961.930664
16-monterrey	2021	5894.944967
16-monterrey	2026	6990.489108
17-saltillo	2016	1389.655539
17-saltillo	2021	1565.961237
17-saltillo	2026	1899.545629
18-valles	2016	331.4153459
18-valles	2021	405.0286738
18-valles	2026	478.9009584
19-huasteca	2016	653.4015181
19-huasteca	2021	752.6479816
19-huasteca	2026	878.9807535
20-tamazunchale	2016	206.747111
20-tamazunchale	2021	245.622707
20-tamazunchale	2026	291.2703795
21-guemez	2016	242.9135086
21-guemez	2021	309.2784452
21-guemez	2026	373.7046171
22-tepic	2016	513.8149881
22-tepic	2021	603.6011693
22-tepic	2026	711.3743962
23-guadalajara	2016	2467.136937
23-guadalajara	2021	2648.703548
23-guadalajara	2026	2961.158991
24-aguascalientes	2016	1655.195424
24-aguascalientes	2021	1987.998289
24-aguascalientes	2026	2366.421138
25-san_luis_potosi	2016	953.9067441
25-san_luis_potosi	2021	1186.155871
25-san_luis_potosi	2026	1424.178514
26-salamanca	2016	1049.622261
26-salamanca	2021	1304.332451
26-salamanca	2026	1587.00649
27-manzanillo	2016	439.9680519
27-manzanillo	2021	502.9773411
27-manzanillo	2026	585.4687471
28-carapan	2016	731.7186641
28-carapan	2021	850.9753757
28-carapan	2026	1003.277685
29-lazaro_cardenas	2016	701.0617266
29-lazaro_cardenas	2021	773.5545089
29-lazaro_cardenas	2026	869.1634845
30-queretaro	2016	2097.526077
30-queretaro	2021	2556.331507
30-queretaro	2026	3058.672715
31-central	2016	8821
31-central	2021	10011
31-central	2026	11362
32-poza_rica	2016	674.4752351
32-poza_rica	2021	770.3686476
32-poza_rica	2026	887.9496015
33-veracruz	2016	706.0832953
33-veracruz	2021	840.7716681
33-veracruz	2026	969.7032289
34-puebla	2016	2234.004439
34-puebla	2021	2578.483205
34-puebla	2026	2995.282658
35-acapulco	2016	631.9260468
35-acapulco	2021	743.3491025
35-acapulco	2026	856.3264669
36-temascal	2016	868.3896506
36-temascal	2021	976.5410045
36-temascal	2026	1131.559805
37-coatzacoalcos	2016	736.860466
37-coatzacoalcos	2021	791.0386055
37-coatzacoalcos	2026	912.2227679
38-tabasco	2016	1079.130469
38-tabasco	2021	1291.414977
38-tabasco	2026	1533.184576
39-grijalva	2016	617.655666
39-grijalva	2021	752.6082875
39-grijalva	2026	898.1838343
40-ixtepec	2016	249.2828629
40-ixtepec	2021	297.8055908
40-ixtepec	2026	352.6361544
41-lerma	2016	363.2921542
41-lerma	2021	438.2781292
41-lerma	2026	515.3599454
42-merida	2016	744.6223084
42-merida	2021	851.8439428
42-merida	2026	1004.45431
43-cancun	2016	841.5190481
43-cancun	2021	1026.004586
43-cancun	2026	1235.351569
44-chetumal	2016	103.2061984
44-chetumal	2021	123.6481957
44-chetumal	2026	151.3708997
45-cozumel	2016	49.66993008
45-cozumel	2021	58.97968544
45-cozumel	2026	71.48174777
46-tijuana	2016	812.181631
46-tijuana	2021	927.5159589
46-tijuana	2026	1054.711552
47-ensenada	2016	260.2229628
47-ensenada	2021	305.5996322
47-ensenada	2026	356.3306317
48-mexicali	2016	1388.66443
48-mexicali	2021	1625.368739
48-mexicali	2026	1890.207017
49-san_luis_rio_colorado	2016	292.9287714
49-san_luis_rio_colorado	2021	346.2659576
49-san_luis_rio_colorado	2026	408.2654401
50-villa_constitucion	2016	47.43213971
50-villa_constitucion	2021	52.47885222
50-villa_constitucion	2026	59.86456164
51-la_paz	2016	217.8802592
51-la_paz	2021	270.9659083
51-la_paz	2026	336.3053974
52-los_cabos	2016	260.4105131
52-los_cabos	2021	340.6640212
52-los_cabos	2026	438.9679571
53-mulege	2016	45.23745958
53-mulege	2021	52.61503488
53-mulege	2026	62.79262512
