name_switch	name_prodesen	load_zone	load_area	date	timestamp	capacity_factor
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-01-31	20070131	9.073141
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-02-29	20070229	8.517361
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-03-31	20070331	8.422491
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-04-30	20070430	8.484549
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-05-31	20070531	8.457549
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-06-30	20070630	12.290972
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-07-31	20070731	14.37108
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-08-31	20070831	14.635921
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-09-30	20070930	14.025
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-10-31	20071031	11.019041
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-11-30	20071130	8.494676
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2007-12-31	20071231	9.512041
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-01-31	20090131	9.167507
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-02-29	20090229	8.801545
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-03-31	20090331	8.873737
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-04-30	20090430	8.199074
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-05-31	20090531	9.212702
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-06-30	20090630	11.750521
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-07-31	20090731	13.458277
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-08-31	20090831	1.517305
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-09-30	20090930	13.395756
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-10-31	20091031	9.988799
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-11-30	20091130	8.557118
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2009-12-31	20091231	9.067092
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-01-31	20130131	9.928457
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-02-29	20130229	8.20498
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-03-31	20130331	8.14885
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-04-30	20130430	7.604165
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-05-31	20130531	8.955874
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-06-30	20130630	11.078023
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-07-31	20130731	14.483593
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-08-31	20130831	13.475579
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-09-30	20130930	16.473705
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-10-31	20131031	11.154968
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-11-30	20131130	9.067791
agua_prieta	agua_prieta	03-occidental	23-guadalajara	2013-12-31	20131231	10.532899
angostura	angostura	02-oriental	39-grijalva	2007-01-31	20070131	19.956717
angostura	angostura	02-oriental	39-grijalva	2007-02-29	20070229	15.853135
angostura	angostura	02-oriental	39-grijalva	2007-03-31	20070331	34.536964
angostura	angostura	02-oriental	39-grijalva	2007-04-30	20070430	28.792594
angostura	angostura	02-oriental	39-grijalva	2007-05-31	20070531	15.395756
angostura	angostura	02-oriental	39-grijalva	2007-06-30	20070630	11.547508
angostura	angostura	02-oriental	39-grijalva	2007-07-31	20070731	13.861652
angostura	angostura	02-oriental	39-grijalva	2007-08-31	20070831	8.878084
angostura	angostura	02-oriental	39-grijalva	2007-09-30	20070930	26.659324
angostura	angostura	02-oriental	39-grijalva	2007-10-31	20071031	28.91047
angostura	angostura	02-oriental	39-grijalva	2007-11-30	20071130	0.005145
angostura	angostura	02-oriental	39-grijalva	2007-12-31	20071231	4.18103
angostura	angostura	02-oriental	39-grijalva	2009-01-31	20090131	32.254767
angostura	angostura	02-oriental	39-grijalva	2009-02-29	20090229	38.703161
angostura	angostura	02-oriental	39-grijalva	2009-03-31	20090331	40.672587
angostura	angostura	02-oriental	39-grijalva	2009-04-30	20090430	44.64776
angostura	angostura	02-oriental	39-grijalva	2009-05-31	20090531	21.017974
