GENERATION_PROJECT	timepoint	gen_max_capacity_factor
acciona-biofields_at_solar_1-5	1	0.068976171875
acciona-biofields_at_solar_1-5	2	0.413930078125
acciona-biofields_at_solar_1-5	3	0.0
acciona-biofields_at_solar_1-5	4	0.0
acciona-biofields_at_solar_1-5	5	0.125182880859
acciona-biofields_at_solar_1-5	6	0.490943203125
acciona-biofields_at_solar_1-5	7	0.0
acciona-biofields_at_solar_1-5	8	0.0
aguascalientes_potencia_1	1	0.150544892578
aguascalientes_potencia_1	2	0.562661914062
aguascalientes_potencia_1	3	0.0
aguascalientes_potencia_1	4	0.0
aguascalientes_potencia_1	5	0.267232148437
aguascalientes_potencia_1	6	0.672884921875
aguascalientes_potencia_1	7	0.0
aguascalientes_potencia_1	8	0.0
alten_6	1	0.150544892578
alten_6	2	0.562661914062
alten_6	3	0.0
alten_6	4	0.0
alten_6	5	0.267232148437
alten_6	6	0.672884921875
alten_6	7	0.0
alten_6	8	0.0
alten_aguascalientes_1-5	1	0.150544892578
alten_aguascalientes_1-5	2	0.562661914062
alten_aguascalientes_1-5	3	0.0
alten_aguascalientes_1-5	4	0.0
alten_aguascalientes_1-5	5	0.267232148437
alten_aguascalientes_1-5	6	0.672884921875
alten_aguascalientes_1-5	7	0.0
alten_aguascalientes_1-5	8	0.0
autoabastecimiento_renovable	1	0.150544892578
autoabastecimiento_renovable	2	0.562661914062
autoabastecimiento_renovable	3	0.0
autoabastecimiento_renovable	4	0.0
autoabastecimiento_renovable	5	0.267232148437
autoabastecimiento_renovable	6	0.672884921875
autoabastecimiento_renovable	7	0.0
autoabastecimiento_renovable	8	0.0
bii_nee_stipa_energia_eolica	1	0.50581965
bii_nee_stipa_energia_eolica	2	0.69700632
bii_nee_stipa_energia_eolica	3	0.96519553
bii_nee_stipa_energia_eolica	4	0.98618683
bii_nee_stipa_energia_eolica	5	0.16742757
bii_nee_stipa_energia_eolica	6	0.12077439999999999
bii_nee_stipa_energia_eolica	7	0.06389916
bii_nee_stipa_energia_eolica	8	0.00066337
ce_aut_04	1	0.5115308
ce_aut_04	2	0.44176789
ce_aut_04	3	0.11949569999999998
ce_aut_04	4	0.0951287
ce_aut_04	5	0.047717699999999995
ce_aut_04	6	0.03472516
ce_aut_04	7	0.08580843
ce_aut_04	8	0.07160996
ce_aut_07	1	0.5115308
ce_aut_07	2	0.44176789
ce_aut_07	3	0.11949569999999998
ce_aut_07	4	0.0951287
ce_aut_07	5	0.047717699999999995
ce_aut_07	6	0.03472516
ce_aut_07	7	0.08580843
ce_aut_07	8	0.07160996
ce_aut_13	1	0.00011974
ce_aut_13	2	0.15398154
ce_aut_13	3	0.00191746
ce_aut_13	4	0.00843703
ce_aut_13	5	0.13050568
ce_aut_13	6	0.00023578
ce_aut_13	7	0.09674762
ce_aut_13	8	0.06143147
ce_aut_17	1	0.44700431
ce_aut_17	2	0.56030285
ce_aut_17	3	0.01696695
ce_aut_17	4	0.05275899
ce_aut_17	5	0.12145176
ce_aut_17	6	0.35916757
ce_aut_17	7	0.17077669
ce_aut_17	8	0.04812619
ce_aut_25	1	0.44700431
ce_aut_25	2	0.56030285
ce_aut_25	3	0.01696695
